District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
Hugli,74.5,941.0,99.5,50.4,14.2,98.8,73.3,85.8,20.8,34.6,65.0,5.6,83.9,34.4,90.8,89.7,68.0,38.3,23.2,23.2,34.3,19.1,16.0,28.1,17.6,52.5,64.6,35.7,WB,Rural,Eastern Zone
Bankura,65.0,1151.0,96.5,25.6,11.4,87.7,62.0,82.3,20.3,40.3,69.7,5.3,88.3,43.8,84.5,95.9,82.4,49.6,22.9,22.4,34.9,34.6,24.8,7.9,9.3,49.2,68.5,27.6,WB,Rural,Eastern Zone
Puruliya,53.5,1079.0,81.0,8.2,5.0,92.7,48.9,77.6,14.8,38.6,49.5,7.8,68.4,33.5,79.0,85.1,74.8,60.6,17.5,18.1,42.3,48.6,24.0,3.6,5.4,67.2,80.6,47.2,WB,Rural,Eastern Zone
Haora,83.2,1025.0,94.5,62.1,59.2,99.1,79.8,92.4,36.4,20.3,46.2,9.8,82.8,36.6,89.3,64.8,61.1,51.0,22.6,23.3,36.9,14.4,22.7,29.2,20.5,64.1,57.0,27.1,WB,Urban,Eastern Zone
Haora,79.6,901.0,99.7,56.6,27.3,94.9,76.2,84.0,27.7,32.6,57.7,8.7,92.2,40.8,82.5,88.6,86.1,37.9,15.4,14.1,31.5,19.7,16.3,20.6,11.6,46.2,59.8,32.6,WB,Rural,Eastern Zone
Kolkata,82.5,1020.0,96.2,50.2,69.6,98.5,80.8,84.3,49.6,13.1,57.5,6.4,84.8,42.2,95.0,66.7,63.7,47.8,11.9,13.6,24.2,7.3,17.2,40.7,42.8,70.2,46.4,24.6,WB,Urban,Eastern Zone
South Twenty Four Parganas,74.4,1068.0,98.5,50.1,10.3,94.1,72.9,73.9,18.0,54.1,60.4,6.9,73.3,20.7,47.4,98.5,79.2,55.6,24.6,23.6,29.3,20.3,20.6,18.5,9.2,65.7,67.7,32.0,WB,Rural,Eastern Zone
Paschim Medinipur,73.4,868.0,96.8,39.3,9.3,91.3,69.2,82.4,22.6,52.7,61.2,5.0,84.4,26.9,76.1,91.3,72.4,49.0,31.8,31.3,30.1,29.9,25.5,14.7,15.3,53.7,67.2,37.1,WB,Rural,Eastern Zone
Purba Medinipur,77.9,1053.0,99.1,66.7,6.6,85.7,75.2,90.4,27.0,44.0,60.0,6.0,78.0,30.2,73.0,93.9,72.5,27.6,16.9,18.1,31.3,20.2,6.5,19.0,18.3,46.2,59.4,27.5,WB,Rural,Eastern Zone
Chennai,88.7,1531.0,77.4,82.3,96.7,96.4,90.2,96.7,70.7,12.8,60.1,6.8,78.3,70.1,100.0,86.1,60.0,40.5,16.1,13.8,30.9,9.4,4.3,33.6,31.3,44.5,53.9,10.1,TN,Urban,Southern Zone
Vellore,78.4,904.0,79.2,70.9,89.7,91.5,82.0,87.4,53.9,11.6,64.1,10.8,96.4,70.0,100.0,78.1,69.7,72.1,40.5,41.1,30.1,14.3,22.2,34.0,26.1,46.8,60.4,18.4,TN,Urban,Southern Zone
Tiruvannamalai,66.9,825.0,97.5,21.2,57.8,69.8,69.0,87.1,40.0,22.0,49.3,6.7,83.6,54.9,95.5,58.1,84.7,49.1,22.6,28.4,24.5,19.2,7.8,26.1,29.8,57.7,61.4,25.3,TN,Rural,Southern Zone
Viluppuram,67.3,777.0,96.8,25.1,53.4,86.6,67.1,71.6,40.4,21.9,48.3,6.3,80.1,62.2,99.0,71.7,67.7,45.6,17.4,32.2,31.4,19.8,17.7,23.0,33.4,57.5,63.7,36.7,TN,Rural,Southern Zone
Salem,78.0,955.0,95.7,59.6,83.3,91.0,82.2,80.9,56.0,9.6,53.7,4.1,82.2,67.5,100.0,77.5,66.0,54.1,24.9,23.8,23.4,11.2,7.4,35.2,37.6,59.4,53.2,22.6,TN,Urban,Southern Zone
The Nilgiris,83.3,980.0,92.1,61.3,70.7,87.8,85.8,89.1,61.5,17.3,48.9,8.6,85.8,54.9,100.0,85.4,81.5,49.4,28.8,30.8,32.0,10.4,9.8,25.0,14.0,54.8,54.3,28.4,TN,Urban,Southern Zone
Dindigul,69.4,1208.0,99.3,32.4,55.6,78.3,68.5,83.8,36.0,19.8,61.3,7.7,87.4,65.4,100.0,80.3,64.7,77.5,29.6,34.7,35.5,15.8,9.6,22.0,26.0,45.5,50.5,23.3,TN,Rural,Southern Zone
Karur,69.0,1035.0,96.6,33.2,68.3,87.0,76.7,80.4,43.0,27.6,55.7,5.6,81.2,70.6,100.0,85.6,74.3,61.2,20.9,25.6,29.7,18.8,17.7,22.6,24.0,52.2,56.4,18.7,TN,Rural,Southern Zone
Perambalur,69.3,878.0,92.1,29.9,58.0,81.1,73.1,84.6,45.3,14.7,38.5,12.7,77.5,60.5,100.0,66.5,65.9,34.0,39.8,45.6,24.3,18.5,24.5,24.9,18.9,57.1,59.2,22.1,TN,Rural,Southern Zone
Ariyalur,68.5,844.0,96.8,26.2,44.4,63.2,68.0,89.7,41.6,12.9,33.9,10.7,77.9,52.9,98.9,55.0,78.8,45.8,19.8,31.6,37.4,17.4,13.4,20.8,29.0,46.5,58.6,20.7,TN,Rural,Southern Zone
Nagapattinam,75.7,989.0,94.5,32.4,48.3,77.9,77.1,87.9,42.3,7.3,57.0,9.1,69.4,54.2,100.0,42.0,65.9,52.0,10.6,21.2,27.2,26.4,15.2,23.0,24.4,43.8,53.1,17.6,TN,Rural,Southern Zone
Thiruvarur,78.6,989.0,98.4,38.6,33.5,73.4,81.4,91.0,47.6,8.3,56.8,13.1,84.1,74.5,99.6,73.1,73.6,55.7,29.6,38.5,29.0,20.9,23.9,28.0,19.9,53.5,58.3,17.9,TN,Rural,Southern Zone
Thanjavur,73.9,830.0,99.0,33.1,33.0,74.0,78.2,84.4,45.9,12.7,47.9,10.3,91.3,72.5,98.8,70.7,73.2,50.9,27.6,30.7,26.4,18.0,20.0,27.1,29.0,52.0,60.1,24.0,TN,Rural,Southern Zone
Pudukkottai,69.6,951.0,82.8,25.0,27.7,82.3,75.2,88.0,43.9,11.3,33.7,12.5,74.1,56.8,99.6,48.6,65.8,39.9,20.7,33.9,28.0,26.0,17.4,20.6,24.2,48.0,54.0,16.5,TN,Rural,Southern Zone
Ramanathapuram,71.2,768.0,85.0,34.6,42.5,60.5,74.1,89.5,36.9,17.4,28.0,17.5,65.5,53.6,98.6,54.0,55.5,47.5,30.0,42.9,24.6,22.9,16.4,27.6,26.6,53.3,50.6,15.9,TN,Rural,Southern Zone
Kanniyakumari,91.8,1046.0,91.1,86.1,60.9,90.0,95.2,91.4,75.3,4.2,43.1,14.1,81.3,68.7,99.1,55.0,63.1,42.5,34.5,42.2,15.8,12.5,4.0,42.4,34.6,38.4,45.1,7.3,TN,Urban,Southern Zone
Dharmapuri,66.7,916.0,97.4,29.1,66.9,77.9,70.8,85.1,42.5,28.7,53.9,8.6,87.5,51.9,98.7,48.8,84.9,40.8,9.9,21.9,22.2,16.8,12.2,23.3,22.4,58.4,61.7,29.3,TN,Rural,Southern Zone
Krishnagiri,68.1,834.0,96.7,29.9,50.5,78.4,66.5,81.1,44.2,23.9,63.3,7.2,86.8,81.1,94.4,89.7,66.1,60.4,14.3,26.8,29.6,20.4,18.1,19.1,19.7,50.8,47.4,30.6,TN,Rural,Southern Zone
Coimbatore,81.9,753.0,95.6,63.7,90.3,91.1,83.2,94.0,55.5,17.5,65.4,8.3,86.0,73.0,99.5,83.8,57.6,53.4,17.0,30.8,25.4,11.4,7.2,36.6,36.0,40.6,53.1,12.1,TN,Urban,Southern Zone
Tiruppur,79.1,1065.0,97.1,57.5,94.0,95.6,80.5,85.9,47.4,16.1,61.4,12.3,90.9,69.6,100.0,90.0,88.9,61.6,19.5,41.8,29.7,10.5,9.4,28.2,22.7,50.8,59.4,28.0,TN,Urban,Southern Zone
West Garo Hills,75.6,983.0,47.8,43.4,10.6,99.3,75.9,75.9,34.3,17.7,31.7,13.7,35.3,9.9,41.5,42.7,47.2,69.9,16.0,17.4,30.5,13.0,11.8,10.4,12.9,52.2,72.8,42.5,ML,Rural,North Eastern Zone
East Garo Hills,76.5,1110.0,38.3,48.6,2.5,98.8,66.7,73.5,22.8,20.1,11.6,26.3,29.6,17.5,41.3,34.9,52.4,48.6,18.3,18.0,30.3,10.8,9.0,9.1,7.1,74.4,65.8,56.8,ML,Rural,North Eastern Zone
South Garo Hills,85.7,1120.0,70.4,84.6,7.2,98.9,86.0,96.6,49.7,10.5,19.8,16.2,50.4,50.3,88.8,82.6,76.2,36.2,35.3,36.3,17.0,3.7,3.9,13.8,20.8,77.2,46.1,41.6,ML,Rural,North Eastern Zone
West Khasi Hills,85.3,967.0,69.9,79.2,5.4,99.4,87.5,90.6,17.8,21.3,19.1,25.0,40.4,30.9,33.5,71.1,41.3,67.0,27.4,24.7,49.4,9.4,8.0,7.7,8.9,36.6,49.0,25.6,ML,Rural,North Eastern Zone
Ribhoi,78.3,1097.0,69.0,54.7,9.1,98.9,74.5,80.3,13.3,23.6,22.3,24.3,39.7,33.8,43.4,56.1,61.9,76.5,32.7,28.0,52.0,16.9,18.4,10.0,3.0,44.9,67.7,32.2,ML,Rural,North Eastern Zone
East Khasi Hills,93.7,761.0,88.3,65.1,74.9,99.0,93.7,96.4,62.3,4.4,29.0,21.6,79.6,57.5,95.1,77.0,68.1,55.5,21.5,25.4,31.4,11.5,17.4,21.4,18.1,38.0,42.2,11.8,ML,Urban,North Eastern Zone
East Khasi Hills,87.0,994.0,83.2,66.2,11.2,99.7,91.3,85.6,23.7,14.3,12.9,24.8,69.6,55.9,55.6,66.1,59.8,50.7,30.6,29.3,55.3,14.2,15.1,11.1,0.0,50.1,51.9,19.3,ML,Rural,North Eastern Zone
Jaintia Hills,76.9,1061.0,73.0,54.6,15.3,99.3,77.7,75.8,19.7,27.2,18.5,23.1,51.0,40.9,42.8,68.6,50.1,68.4,18.3,17.7,52.3,13.2,6.6,10.1,6.7,33.7,47.7,32.2,ML,Rural,North Eastern Zone
Nandurbar,51.8,1050.0,84.2,18.6,12.0,98.7,42.3,53.4,21.4,24.6,53.4,12.3,52.6,38.5,52.5,32.7,71.1,63.1,3.5,2.7,49.7,45.3,39.5,7.2,3.7,60.8,61.6,35.4,MH,Rural,Western Zone
Dhule,63.1,805.0,92.2,21.3,26.2,96.1,52.5,84.1,21.5,41.2,61.3,7.8,59.8,12.1,67.9,40.3,81.3,57.4,22.1,19.5,42.1,31.9,26.1,9.3,16.7,68.6,53.3,24.8,MH,Rural,Western Zone
Buldana,72.5,875.0,84.9,40.3,21.1,99.7,74.3,89.4,26.3,37.3,72.9,4.9,74.9,20.5,82.6,69.2,61.6,29.5,0.0,0.0,46.2,29.6,27.9,14.3,4.3,44.1,44.3,10.1,MH,Rural,Western Zone
Akola,89.0,1068.0,98.8,63.0,81.4,99.8,88.5,90.4,53.4,7.4,62.8,6.8,84.7,33.1,93.9,38.3,60.3,45.2,0.0,0.0,26.9,22.1,12.3,30.7,41.6,59.2,40.2,11.6,MH,Urban,Western Zone
Akola,83.0,878.0,96.7,38.0,23.4,98.1,82.0,90.5,39.6,15.0,67.3,9.1,78.4,34.1,91.1,57.1,78.3,71.6,0.0,0.0,47.7,27.0,21.8,14.3,7.7,50.5,37.8,23.7,MH,Rural,Western Zone
Washim,72.9,947.0,85.6,34.0,22.9,96.8,73.6,92.0,32.6,25.0,74.7,6.9,65.3,34.0,84.2,68.8,68.3,61.6,9.0,8.0,41.8,28.4,19.9,8.8,11.3,63.7,36.4,21.3,MH,Rural,Western Zone
Amravati,78.3,1120.0,94.7,55.6,32.2,95.8,81.9,88.8,42.5,18.4,72.0,6.6,72.6,53.4,91.7,64.8,75.2,63.6,5.9,7.5,42.1,29.9,23.0,11.7,17.6,48.8,45.5,20.0,MH,Rural,Western Zone
Nagpur,88.7,1027.0,95.3,77.3,87.6,94.4,89.4,98.0,57.6,6.1,63.5,9.1,75.1,52.1,97.0,80.5,87.0,62.0,0.3,7.1,33.9,19.5,18.2,27.5,19.2,43.5,45.0,21.2,MH,Urban,Western Zone
Bhandara,77.5,1162.0,83.7,64.2,30.3,98.7,86.8,90.2,48.3,5.4,75.1,4.1,81.1,32.4,98.3,78.1,66.0,29.4,0.0,0.0,38.2,35.9,34.5,10.9,6.9,45.4,57.2,31.9,MH,Rural,Western Zone
Gondiya,76.2,994.0,76.9,51.9,17.1,98.7,83.5,89.7,40.6,6.4,65.9,9.4,75.2,69.8,93.1,77.4,74.4,67.7,3.8,4.8,34.5,38.3,30.6,4.8,7.1,57.2,56.5,33.4,MH,Rural,Western Zone
Gadchiroli,63.8,1167.0,84.1,27.9,14.5,98.1,70.1,90.0,33.5,9.5,71.9,6.3,76.5,49.6,86.2,81.4,70.6,62.0,9.6,9.0,30.9,28.9,20.5,6.3,10.7,59.8,51.0,33.8,MH,Rural,Western Zone
Yavatmal,72.7,912.0,76.4,34.3,23.8,97.4,71.8,92.0,29.1,20.8,71.7,7.1,66.7,32.1,82.9,61.7,83.2,58.0,6.7,7.1,53.4,30.3,29.4,10.6,12.7,73.7,48.9,22.8,MH,Rural,Western Zone
Nanded,64.9,905.0,87.8,33.9,14.5,94.7,72.9,86.7,20.8,41.8,60.9,10.2,67.6,41.1,81.0,48.5,62.6,67.7,0.9,4.3,42.9,34.2,24.3,8.9,11.6,54.7,45.6,15.3,MH,Rural,Western Zone
Hingoli,64.8,965.0,84.3,35.1,16.0,99.1,65.8,92.5,20.3,42.1,66.1,7.1,62.8,43.4,82.6,67.5,64.4,57.4,8.8,8.3,40.2,30.4,25.7,10.9,4.6,53.6,42.7,13.6,MH,Rural,Western Zone
Parbhani,77.2,905.0,92.4,57.6,63.6,98.0,81.4,91.7,39.1,24.5,67.5,8.5,77.1,37.9,89.5,49.3,63.9,34.7,3.8,3.1,41.7,18.2,31.2,24.7,20.1,46.6,47.9,11.8,MH,Urban,Western Zone
Parbhani,60.2,1223.0,88.8,23.6,10.3,99.6,65.8,81.7,15.8,49.5,68.6,7.0,80.3,27.9,84.0,52.5,71.4,55.5,2.0,4.0,48.5,37.5,24.5,9.0,10.8,54.4,45.7,17.6,MH,Rural,Western Zone
Jalna,63.4,861.0,67.0,30.0,9.9,99.7,63.5,90.3,21.5,53.7,66.4,8.6,64.6,45.8,92.2,74.1,70.0,68.1,0.0,3.4,47.0,29.9,28.4,12.1,15.1,49.3,42.8,11.5,MH,Rural,Western Zone
Aurangabad,80.4,1066.0,95.5,61.3,84.7,98.8,83.7,92.6,46.4,34.8,61.6,9.4,78.1,16.2,99.4,70.8,78.0,43.5,0.0,0.0,35.4,14.7,23.2,30.7,26.4,31.5,42.5,19.1,MH,Urban,Western Zone
Nashik,85.8,887.0,99.2,64.1,87.1,99.0,88.3,92.8,43.5,31.2,63.0,12.5,52.6,42.5,95.5,58.9,68.0,64.0,0.0,1.9,43.7,20.4,15.3,30.1,24.9,52.1,56.2,13.3,MH,Urban,Western Zone
Nashik,74.5,844.0,78.1,38.9,39.4,95.0,75.0,91.4,35.6,27.6,69.2,7.8,65.8,39.3,73.3,66.1,63.3,65.4,0.0,0.0,43.2,32.2,18.1,14.2,22.8,54.0,52.9,19.0,MH,Rural,Western Zone
Thane,85.7,747.0,97.9,72.0,87.0,98.2,82.4,91.3,54.5,16.9,59.5,10.5,73.0,56.1,92.4,42.5,67.4,54.5,9.7,11.4,31.8,13.7,11.2,33.6,30.5,51.5,45.3,15.4,MH,Urban,Western Zone
Mumbai Suburban,82.9,932.0,99.2,26.7,87.1,99.6,82.0,94.5,43.3,14.6,59.6,12.3,82.0,36.7,93.9,50.1,82.6,58.0,14.2,14.2,21.3,15.1,14.0,36.3,33.0,70.0,50.4,12.8,MH,Urban,Western Zone
Mumbai,87.2,1033.0,99.6,39.2,89.2,98.1,90.5,98.1,52.9,10.6,53.1,13.7,80.7,52.7,97.4,45.6,81.1,49.8,3.5,6.4,25.5,17.8,14.9,34.0,37.9,65.7,49.4,23.0,MH,Urban,Western Zone
Raigarh,71.8,730.0,89.7,55.7,54.8,87.1,76.5,88.7,31.6,26.0,63.4,6.0,64.8,53.4,91.6,42.4,80.5,58.0,7.6,11.7,39.5,31.0,18.6,18.2,12.0,56.4,61.1,17.7,MH,Rural,Western Zone
Pune,74.3,786.0,88.4,60.9,59.8,90.2,82.9,98.9,39.3,34.6,71.0,8.9,83.2,59.2,94.2,79.2,59.3,70.4,2.5,7.0,22.5,23.4,13.9,21.3,17.4,53.8,49.3,15.5,MH,Rural,Western Zone
Ahmadnagar,71.9,878.0,84.3,45.5,49.8,94.7,79.3,92.4,42.5,42.1,44.3,11.6,59.0,19.9,94.2,40.6,77.4,46.7,5.0,4.2,34.7,25.6,22.4,13.9,15.1,43.4,44.8,20.1,MH,Rural,Western Zone
Bid,58.6,1013.0,82.8,35.9,19.4,94.9,63.6,95.2,29.7,48.6,66.9,8.1,71.1,21.4,92.8,53.0,79.3,58.8,12.0,14.0,37.6,21.7,30.0,15.9,12.2,58.6,33.6,9.7,MH,Rural,Western Zone
Latur,65.6,971.0,92.3,34.9,21.9,97.5,75.2,91.6,33.1,38.7,66.2,8.3,74.6,40.5,89.7,64.2,62.0,51.5,5.8,7.1,37.1,25.3,21.7,18.2,15.7,56.3,37.2,15.3,MH,Rural,Western Zone
Osmanabad,65.4,752.0,88.3,25.3,25.2,98.5,76.3,92.5,34.7,30.8,70.8,7.7,71.9,37.7,86.2,65.3,69.5,66.1,4.3,8.5,44.0,23.7,19.0,17.9,23.2,37.1,33.6,13.3,MH,Rural,Western Zone
Solapur,80.9,976.0,96.4,60.3,82.4,96.2,83.2,93.9,45.3,25.8,60.7,10.5,76.6,56.9,96.8,78.9,61.3,66.8,5.6,4.7,27.8,16.9,15.1,35.1,34.2,50.2,48.6,16.1,MH,Urban,Western Zone
Solapur,67.4,747.0,82.5,44.3,36.2,96.4,72.5,93.3,29.4,40.5,64.9,6.9,72.4,47.8,81.3,59.0,64.3,56.3,8.9,7.6,24.2,20.2,16.1,16.3,33.3,52.2,41.9,14.2,MH,Rural,Western Zone
Satara,74.7,1029.0,93.6,64.0,48.4,91.8,84.8,100.0,35.4,24.4,64.3,11.6,68.7,31.3,96.0,61.0,65.1,70.9,0.0,1.5,24.3,33.9,26.2,16.5,27.8,57.8,47.0,16.1,MH,Rural,Western Zone
Ratnagiri,74.3,1028.0,82.9,63.8,22.4,82.2,83.8,96.0,27.5,6.9,37.3,16.7,72.9,57.3,97.5,73.0,74.3,56.6,7.2,8.3,27.0,33.3,29.3,13.7,25.5,50.9,47.1,9.7,MH,Rural,Western Zone
Sangli,78.0,943.0,94.2,66.4,51.4,94.8,84.8,95.7,44.3,24.7,52.7,9.4,63.5,37.8,95.7,44.3,61.9,54.2,4.5,3.2,25.9,24.2,16.7,26.0,36.0,51.4,49.3,17.0,MH,Rural,Western Zone
Korea,77.22,903.0,88.43,53.23,51.0,98.55,78.05,91.97,42.21,17.46,50.68,14.17,57.86,47.62,82.18,80.06,74.53,42.57,9.54,9.68,21.68,18.1,11.51,19.59,21.52,28.42,33.99,10.65,CT,Urban,Central Zone
Korea,61.01,977.0,68.17,11.99,4.6,98.89,53.85,79.51,13.53,36.42,46.21,12.54,40.3,36.16,66.74,72.82,76.61,47.79,15.35,15.78,33.75,27.8,9.46,7.08,10.09,35.57,37.72,19.28,CT,Rural,Central Zone
Surguja,56.27,1043.0,70.01,13.3,4.88,99.23,48.24,76.25,15.89,44.86,36.95,14.26,39.35,17.46,63.31,62.89,59.38,35.04,12.2,12.07,33.62,38.21,30.89,4.81,4.47,37.3,36.26,14.9,CT,Rural,Central Zone
Jashpur,62.41,958.0,82.5,12.73,3.96,99.22,64.27,75.09,21.17,33.66,44.96,15.59,33.62,25.39,60.28,48.5,64.79,37.5,10.44,10.25,35.48,29.34,26.97,7.46,5.85,31.28,36.31,17.81,CT,Rural,Central Zone
Raigarh,64.43,961.0,91.71,20.24,10.27,98.61,63.49,86.83,21.9,23.39,48.99,12.31,66.85,19.14,64.65,67.07,80.64,39.95,13.57,12.98,40.41,30.22,20.26,9.78,6.75,40.11,42.47,26.06,CT,Rural,Central Zone
Korba,81.18,1090.0,91.64,65.33,61.7,99.41,80.12,91.75,45.07,13.99,57.85,11.67,68.43,30.52,81.1,87.16,69.58,46.2,6.9,7.29,27.65,20.49,24.7,26.79,21.62,30.45,38.59,13.75,CT,Urban,Central Zone
Korba,62.54,912.0,73.6,16.23,6.08,99.43,57.59,78.56,17.07,23.99,46.11,13.78,45.93,21.41,61.3,77.54,64.65,46.29,6.91,7.4,35.59,35.78,34.71,7.34,3.7,42.77,49.2,21.96,CT,Rural,Central Zone
Janjgir - Champa,66.29,769.0,94.51,23.42,12.23,99.08,70.43,89.63,28.43,19.23,58.87,12.95,45.21,16.36,61.63,69.86,59.63,42.53,18.44,18.19,37.97,28.63,21.17,12.51,6.39,34.89,40.6,8.77,CT,Rural,Central Zone
Bilaspur,67.02,1138.0,88.89,25.73,10.23,99.29,65.8,84.73,18.14,21.56,58.83,9.92,60.32,37.91,73.08,81.24,79.9,62.92,9.77,9.28,34.99,14.02,17.66,7.03,5.78,29.44,40.66,27.06,CT,Rural,Central Zone
Kabirdham,57.02,880.0,92.68,14.92,4.85,96.74,50.08,78.89,14.9,33.66,57.11,10.68,41.72,18.87,44.32,57.51,73.26,49.88,14.66,13.91,41.52,34.71,21.22,7.46,9.96,37.12,34.82,17.24,CT,Rural,Central Zone
Rajnandgaon,73.4,953.0,91.81,40.03,6.47,98.53,74.18,94.73,23.44,17.06,62.68,8.76,65.12,43.82,84.78,87.01,75.48,66.33,9.71,10.07,50.49,16.96,14.69,5.18,5.85,27.34,44.51,16.24,CT,Rural,Central Zone
Durg,82.33,733.0,99.21,66.81,76.24,99.65,84.22,93.66,49.28,12.57,57.98,11.5,68.2,45.83,84.08,91.68,68.47,49.43,4.97,6.09,28.62,18.24,30.73,29.05,23.71,39.8,46.27,12.49,CT,Urban,Central Zone
Durg,70.72,984.0,97.65,29.97,9.97,99.27,69.73,90.78,26.18,20.21,66.13,7.85,54.55,31.84,64.46,89.57,75.1,35.48,2.17,2.07,37.65,28.29,37.5,11.1,7.25,47.16,51.01,24.87,CT,Rural,Central Zone
Raipur,77.73,923.0,97.87,62.34,76.94,99.52,79.4,93.09,41.11,12.87,55.0,11.56,89.24,38.67,80.18,83.33,77.91,43.95,18.1,18.91,35.02,17.62,29.31,26.15,19.25,50.12,48.56,17.8,CT,Urban,Central Zone
Raipur,65.93,1040.0,93.36,23.83,8.48,99.22,63.75,84.75,20.67,22.52,55.06,10.55,69.11,27.23,63.53,78.74,66.73,44.26,7.53,7.13,39.89,32.3,23.94,11.53,12.13,45.56,52.28,24.78,CT,Rural,Central Zone
Mahasamund,63.99,888.0,96.95,19.78,7.73,98.96,63.91,86.25,18.9,20.01,62.25,8.25,60.89,22.43,77.87,72.73,58.97,47.67,19.06,18.67,43.02,29.42,22.37,6.86,6.89,37.06,50.79,25.9,CT,Rural,Central Zone
Dhamtari,71.37,1095.0,95.38,50.6,7.81,99.47,74.02,88.92,24.59,9.23,71.64,5.88,71.93,37.04,80.88,87.56,68.32,49.44,13.78,13.46,35.3,31.37,23.65,7.3,6.46,57.23,58.25,32.23,CT,Rural,Central Zone
Uttar Bastar Kanker,66.37,784.0,97.69,34.82,5.98,99.62,61.28,85.89,23.81,15.59,53.3,12.97,70.25,37.65,75.02,82.67,70.25,44.67,4.88,4.6,36.92,37.94,32.65,7.06,10.72,60.53,67.66,31.73,CT,Rural,Central Zone
Bastar,51.02,1097.0,93.79,11.92,3.4,98.44,42.04,68.7,12.42,21.15,41.95,12.93,54.47,25.01,62.13,73.73,64.36,54.47,8.19,7.86,42.32,40.64,33.67,2.42,2.17,60.17,68.1,43.22,CT,Rural,Central Zone
Narayanpur,54.88,875.0,90.81,8.03,3.89,99.73,43.71,73.05,12.47,17.68,35.84,15.33,38.73,23.42,57.46,61.43,68.85,57.63,4.48,3.94,50.73,24.05,16.92,3.13,3.31,47.27,60.23,21.95,CT,Rural,Central Zone
Dakshin Bastar Dantewada,38.12,1072.0,94.61,13.41,4.49,99.55,30.43,46.54,9.14,19.99,28.72,15.46,57.15,26.5,53.69,62.06,63.96,38.41,5.7,5.59,45.38,42.97,26.03,3.07,2.81,71.82,76.8,49.09,CT,Rural,Central Zone
Bijapur,66.01,930.0,93.04,15.41,2.26,99.65,61.82,85.48,17.1,16.25,50.09,9.16,46.62,21.8,74.63,80.45,78.11,47.81,5.46,5.17,50.11,19.49,13.5,1.74,7.3,49.86,68.25,30.69,CT,Rural,Central Zone
Pashchim Champaran,49.9,874.0,96.6,12.4,7.8,89.7,39.5,70.4,11.9,38.2,3.6,22.5,12.3,12.7,63.9,30.4,60.0,30.8,9.4,10.2,45.9,29.2,31.0,9.8,10.2,63.2,56.8,27.4,BR,Rural,Eastern Zone
Purba Champaran,50.3,862.0,99.3,19.8,12.1,91.8,44.0,63.2,12.1,39.7,5.7,23.6,12.2,3.4,47.0,51.3,45.7,41.6,7.7,8.0,47.2,29.5,26.5,9.6,6.2,66.5,53.6,23.3,BR,Rural,Eastern Zone
Sheohar,51.6,897.0,99.6,20.6,9.9,90.1,40.4,70.6,13.8,48.2,17.7,25.7,13.4,2.5,52.9,59.6,50.3,33.2,11.0,10.0,53.1,33.4,25.7,9.4,13.2,64.0,55.0,21.5,BR,Rural,Eastern Zone
Sitamarhi,51.9,978.0,100.0,17.5,9.1,95.0,36.2,65.1,10.8,50.5,31.9,19.6,16.8,5.1,37.9,60.7,55.3,36.0,7.1,7.4,58.1,34.4,35.2,7.7,6.4,68.6,61.1,38.2,BR,Rural,Eastern Zone
Madhubani,51.1,941.0,99.7,18.2,10.9,79.7,40.1,76.3,18.0,41.5,16.2,21.9,14.3,13.7,51.2,50.3,62.0,32.3,9.2,9.8,51.9,32.7,22.8,8.9,9.8,62.3,61.1,40.8,BR,Rural,Eastern Zone
Supaul,47.7,919.0,100.0,15.3,5.7,98.4,36.1,81.7,13.6,56.7,34.0,18.0,11.0,8.6,61.1,66.3,78.3,23.0,3.6,4.7,47.7,38.6,28.8,5.6,8.8,72.5,68.2,46.6,BR,Rural,Eastern Zone
Araria,51.7,965.0,99.6,9.8,2.2,96.2,36.6,64.8,11.5,45.7,29.5,19.7,15.7,8.1,51.2,53.0,59.4,30.1,12.0,10.6,49.0,40.0,39.4,4.6,6.1,63.3,67.4,55.8,BR,Rural,Eastern Zone
