District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
Sundargarh,79.22,1032.45,91.53,60.4,55.96,98.97,76.89,84.58,46.3,13.05,45.78,13.13,81.11,48.11,91.4,80.74,76.51,72.54,16.03,16.03,34.93,21.24,20.35,26.13,23.07,64.64,68.61,29.49,OR,Urban,Eastern Zone
Sundargarh,65.08,1038.09,88.02,25.7,7.62,97.78,64.06,84.66,28.78,16.86,49.99,7.69,80.4,38.82,86.63,88.32,59.76,80.87,16.01,14.97,38.3,30.32,11.85,6.97,7.97,80.29,72.84,46.03,OR,Rural,Eastern Zone
Kendujhar,60.52,859.38,82.88,13.36,8.53,91.39,62.72,83.67,23.73,30.29,32.17,26.05,40.05,42.15,72.67,76.61,68.97,58.58,9.31,9.66,44.24,31.24,24.56,10.6,13.77,29.08,40.39,23.89,OR,Rural,Eastern Zone
Mayurbhanj,57.27,992.39,80.39,14.78,5.49,77.26,55.82,78.5,21.21,36.09,31.77,15.85,73.4,34.04,85.12,73.41,73.79,59.51,8.03,7.39,44.58,33.17,18.69,6.67,13.32,35.06,42.03,26.99,OR,Rural,Eastern Zone
Baleshwar,72.9,959.17,97.71,33.29,8.3,78.02,74.45,91.81,28.07,23.2,32.07,23.29,57.74,15.93,92.49,79.53,66.34,60.89,4.69,4.97,32.09,26.6,15.44,12.18,19.19,29.05,41.03,22.09,OR,Rural,Eastern Zone
Bhadrak,76.54,895.23,99.26,19.1,7.9,95.83,75.73,91.66,28.14,7.13,27.65,24.77,33.23,24.57,87.03,89.53,76.34,67.96,6.78,6.01,36.66,31.15,21.31,11.59,21.76,22.4,44.09,24.01,OR,Rural,Eastern Zone
Kendrapara,77.56,1019.83,98.83,24.66,13.0,95.35,80.65,79.28,29.61,12.1,52.52,13.87,52.22,22.91,94.03,75.71,61.38,63.77,13.14,11.79,27.15,25.05,29.79,15.66,6.4,29.15,42.76,36.94,OR,Rural,Eastern Zone
Jagatsinghapur,78.99,921.51,97.3,31.4,9.28,99.28,85.59,94.24,39.62,8.47,44.3,14.5,81.91,47.05,97.42,85.4,81.9,66.71,13.96,13.19,19.37,18.03,17.6,25.23,25.96,22.7,35.92,11.08,OR,Rural,Eastern Zone
Cuttack,78.01,1028.35,88.65,27.64,18.71,93.66,83.36,92.57,27.65,15.7,37.87,14.48,47.36,27.15,96.02,74.46,82.34,69.73,6.53,7.55,12.44,21.99,19.3,23.3,25.26,16.06,36.45,24.99,OR,Rural,Eastern Zone
Jajapur,76.27,700.5,88.31,29.27,13.29,99.23,78.65,89.0,34.46,8.41,48.72,15.58,51.65,41.3,94.66,88.57,78.08,53.25,11.58,12.07,30.13,28.39,20.95,17.11,8.0,30.75,43.77,20.97,OR,Rural,Eastern Zone
