,District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
0,Srikakulam,-1.0277001963462349,-0.5288019234563514,-0.9155980779107232,-0.7059168500810782,0.0014577742896546126,-2.394772296122114,-0.6346785885038314,-0.7988984049646114,0.00996726647333991,-0.035834481658203875,1.4950744965673932,-1.131856152702231,0.9322373721303001,1.9288044241357492,0.7534721253363403,-0.3277268041231833,1.7277088653863055,-1.004864834806649,-0.6692561506982763,-0.8166523832236595,-0.9228899686020069,-0.06737808294133339,-0.18492398081339023,0.4532085988054986,-0.3111777232634508,1.0117355877641512,1.588168646628937,0.4736499100681304,AP,Rural,Southern Zone
2,Vizianagaram,-1.253004157320667,-0.1121954889743588,0.35227425111308475,-1.0287204125181888,0.11619376651933014,-4.390535761534704,-1.0395672121992279,-2.112032940202386,-0.17233455500067418,0.3305848755347544,1.5723907900064655,-1.6115881216298031,0.7481993126273055,1.1332376820283385,0.6862129793693343,-0.6131598190104278,0.9177876790943914,-0.2340503294349046,-0.3339724541476384,-0.13596933771177108,0.4543546877400721,0.658966758242225,0.5240990662694053,-0.0797248949459782,1.4290840778783607,1.4959273965842814,1.9951390931390045,2.099763551715154,AP,Rural,Southern Zone
7,East Godavari,-0.2099302639205177,0.296399283306057,-0.3885050871929609,0.24231861457793463,0.20583126044876426,-2.423283202770866,0.06755011821787102,-0.6008860544128845,-0.1853561136773894,0.8335134050152858,1.7329707840722315,-1.8064792340066296,1.0222985501849577,1.5855119258291268,1.1177924993242885,-0.18780865957061246,1.1436840643866937,-0.308276911433665,-0.5274053560037756,-0.68294678499811,-0.7643582095986023,-0.5343140522736209,-0.5658915882011611,1.6469796248088069,1.0609517737906695,0.5643178403733985,1.3808440795389023,2.3089711547340697,AP,Rural,Southern Zone
9,West Godavari,0.17392092885073818,-1.4100847656297972,-1.0081954951989787,0.46424606375344823,0.8117807194117391,-1.5822114566327024,0.14346673516075797,-2.164141453505472,0.2378445433158577,0.5533103671618466,1.9113929997008603,-1.566613249542843,0.8539233042566852,0.697310700051675,1.1290023569854561,1.2953236726866382,0.7690266448775089,-0.7707656146567116,-0.6950472042790945,-0.8531175463760822,-1.0516970227922733,-0.7314647948805866,-0.4177375186614723,2.1479371089351944,2.711969380002132,-0.06084120392600992,0.7972638166188055,-0.448765430515269,AP,Rural,Southern Zone
17,Prakasam,-1.403206797970289,-1.3059331570092991,-1.9982755723580203,0.22214339192561522,1.0914497004715735,-2.8224358958533835,-0.8624284393324919,-1.6326346178139919,-0.36114715581304574,1.508874573174856,1.6556544906331592,-1.53663000148487,0.9753101094607887,1.280363038445462,0.7646819829975081,0.00807674280298669,0.6643429541322952,-0.8507019337323,-0.10185297192027372,0.19221713066003243,-0.9526146734151454,-0.5654431168957734,-0.8304524266648908,1.33787819843295,2.187659734786329,0.08012603155326824,0.6360113755487785,0.4926687830698499,AP,Rural,Southern Zone
21,Y.S.R.,0.6996301711244135,-0.8172217627131155,-3.615168935776023,2.009668118921116,2.1993691254393792,-0.7268842571701639,0.795084363920536,0.5142361302731624,1.6637052184161816,-0.3663303724596959,0.7575960053023949,-0.8470152961514849,1.1515167621764222,1.5364701403567522,0.8711756307786002,0.17038179048396837,0.7690266448775089,0.6452491803965664,-0.8626890525544135,-0.7558771113029552,-0.30857940246381377,-1.0635081508502133,-0.6293861894324563,2.4357211955609923,4.1175654501551335,-0.26922755202581256,0.3135064934087251,-1.2760864060900707,AP,Urban,Southern Zone
22,Y.S.R.,-1.4115513891174898,-2.6198457580678913,-1.492551216399086,0.4117904848574176,1.026910704842381,-4.2764921349397,-0.7232479749371997,-1.7160082390989297,0.08158583919527386,0.6179726066664867,0.9598078496815072,-1.58160487357183,1.4726044404582435,1.5473683149061686,0.9888791362208608,0.2375424998692025,1.5789478311694238,-0.7821850888103672,-0.28239034698600185,-0.06303901140692572,-0.0014241193947168232,-0.14001256705968915,-1.243167334668309,0.3039872205550852,1.8753050525301072,0.07399702131503909,0.6206540002087763,0.19787625154319632,AP,Rural,Southern Zone
24,Kurnool,-1.211281201584661,-0.5127785990531978,-0.40987372195178895,0.09302196695077079,0.7974387203830294,-2.96499042909714,-1.3622128342064965,-1.841068671026337,-0.7062184607460009,1.3579960143306966,1.364231538439732,-1.4316886332819636,0.7834406431704319,1.214973991148963,-0.3675136407804232,0.45021807958911,0.8406523280189706,-0.765055877579884,-1.1979727491050514,-1.1934590691320264,0.721877031058318,0.03638546579917495,-0.5235618540469643,0.3785979096802919,1.2840622611165429,-0.09761526535538696,0.16761142767870038,0.359536672057813,AP,Rural,Southern Zone
26,Anantapur,-1.211281201584661,1.169670463277926,-1.2859877470637462,-0.36697310952211193,0.8727342152837542,-3.1788222289627743,-0.7612062834086427,-0.30907837991560005,-0.14629143764724345,0.08630530407278221,1.2512308018749345,-1.5066467534268968,1.010551440003915,1.7435354567956671,0.5516946874353224,0.8307954327721032,0.14092450040622784,0.5196349647063565,1.0845354927973678,1.0795361007023156,0.12738293479555,0.1193963047915817,0.09021929118888843,0.3572805699302329,0.5589531773074548,-0.3366466646463371,-0.10882132844134523,-0.15397289898861577,AP,Rural,Southern Zone
28,Chittoor,-0.4769571806309557,1.6744051819772632,-0.8016320258636398,-0.5687253360453062,0.5536247368949687,-2.1239186829589762,-0.14122057837506746,-0.16317454266695933,0.2508661019925727,0.4958328209355004,1.0073871071824747,-1.62657974565879,0.8617547110440468,1.8143735913668753,0.8935953461009357,0.7020707397837375,0.9783940263679357,0.028597576099171254,-1.1979727491050514,-0.9868231446016317,-0.5661935108443463,0.026009110925124337,-0.14259424665919362,0.5811126373058529,1.1613514930873128,-0.6185811356048938,-0.2316803311613658,0.07425357703201935,AP,Rural,Southern Zone
