,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1421,Lower Dibang Valley,626.17,598.49,89.49,66.28,954.97,801.25,68.62,41.74,64.55,80.72,27.76,28.05,28.18,27.66,23.63,64.73,10.88,2.04,24.13,1.33,58.97,0.73,37.26,47.36,45.68,12.48,15.04,22.3,9.2,59.07,38.73,9.84,6.86,18.78,AR,Total,North Eastern Zone
1424,Lohit,1538.46,1630.99,223.36,69.8,973.19,836.49,60.46,23.91,62.49,73.0,21.46,31.92,51.78,62.91,49.19,81.88,14.13,7.61,39.35,17.73,47.03,1.7,56.53,41.76,80.24,11.47,10.76,26.96,17.28,56.77,54.99,2.26,0.31,3.76,AR,Total,North Eastern Zone
1427,Anjaw,269.41,226.3,32.36,62.68,910.03,1139.09,45.31,24.69,63.66,84.65,26.14,26.35,23.73,28.79,20.24,73.5,4.51,1.97,21.33,5.58,51.38,6.8,35.84,49.34,53.92,16.73,23.91,21.0,4.17,53.68,28.03,11.99,7.05,23.14,AR,Total,North Eastern Zone
1430,North Goa,798.0,890.0,397.0,86.6,1030.0,963.0,79.8,82.5,91.1,94.0,61.7,9.9,20.2,92.6,93.9,99.7,88.6,83.0,94.4,71.4,98.6,1.4,87.3,93.0,82.8,8.5,11.9,21.4,15.9,48.5,33.0,58.3,57.4,60.9,GA,Total,Western Zone
1433,South Goa,790.0,806.0,370.0,82.8,1000.0,970.0,76.1,86.4,85.8,95.7,53.0,9.6,31.7,71.9,81.5,90.9,35.3,33.7,88.5,16.2,94.5,2.3,89.5,84.8,58.9,9.7,8.5,18.3,12.9,48.1,28.7,37.2,26.3,38.1,GA,Total,Western Zone
1435,Gurdaspur,1261.19,1463.59,266.56,79.42,897.98,828.95,74.67,69.77,88.21,90.4,62.72,7.49,68.51,72.03,63.41,95.27,52.17,28.29,83.66,42.11,87.34,8.27,89.24,82.41,25.12,2.64,1.86,22.39,11.3,71.46,54.33,41.67,29.32,18.46,PB,Total,Northern Zone
1438,Kapurthala,460.65,533.69,80.35,78.79,957.76,776.38,81.83,76.1,87.13,87.27,59.75,6.71,64.95,90.7,76.85,92.35,40.13,34.68,94.11,65.42,91.17,5.8,100.0,89.94,28.37,4.34,4.34,20.8,10.37,67.16,56.55,39.18,23.54,48.06,PB,Total,Northern Zone
1441,Jalandhar,1419.43,1695.22,250.48,81.46,952.85,711.39,89.2,78.72,89.14,90.49,68.64,4.55,55.69,82.35,71.36,94.45,53.28,36.93,93.27,42.73,95.71,2.0,91.02,89.98,24.72,1.52,4.29,29.33,7.39,60.04,53.89,51.19,16.92,38.19,PB,Total,Northern Zone
1443,Hoshiarpur,1007.1,1133.01,181.74,83.39,943.24,894.12,76.19,62.71,90.38,81.73,64.26,6.71,63.47,70.44,69.8,94.88,35.57,27.21,84.35,47.44,91.29,4.58,92.69,67.79,28.3,5.22,5.68,25.69,13.65,59.7,61.33,42.63,16.34,37.24,PB,Total,Northern Zone
1446,Shahid Bhagat Singh Nagar,359.78,412.37,55.82,75.22,1010.53,1153.5,81.62,55.1,86.72,96.27,58.41,5.06,49.86,90.88,89.52,93.98,48.48,43.94,89.5,47.93,91.77,5.27,86.05,72.6,24.13,5.51,9.52,23.28,13.29,76.21,64.75,26.1,13.65,42.2,PB,Total,Northern Zone
1449,Fatehgarh Sahib,338.13,409.06,60.8,79.46,927.03,871.79,82.97,69.42,88.42,95.2,58.5,8.25,57.04,80.28,63.68,96.49,40.25,21.46,82.95,44.28,94.28,2.4,87.81,79.53,34.69,2.91,3.58,18.72,13.71,62.88,53.34,37.99,25.22,20.45,PB,Total,Northern Zone
1452,Ludhiana,2131.15,2360.84,371.36,82.01,862.14,827.27,80.75,76.78,84.95,87.17,62.5,6.37,61.65,79.91,69.91,98.19,41.95,30.63,83.78,48.08,82.54,7.45,72.32,46.22,32.88,8.98,6.57,30.12,9.22,60.84,65.18,32.35,23.01,48.76,PB,Total,Northern Zone
1454,Moga,564.37,665.58,103.82,71.72,897.43,1057.03,86.88,55.35,77.89,85.55,47.12,10.77,67.39,74.21,69.71,96.26,40.59,31.13,92.11,44.21,93.14,4.75,94.01,87.34,33.54,8.63,7.57,28.58,10.83,50.42,47.46,42.34,18.7,36.0,PB,Total,Northern Zone
1456,Firozpur,1093.18,1321.17,169.91,67.42,889.59,1014.36,77.12,49.58,67.68,82.44,34.51,7.53,75.05,61.86,66.66,90.2,25.9,19.5,80.4,50.89,86.57,6.32,87.03,68.55,30.38,3.46,2.86,28.3,13.66,46.4,57.01,32.88,17.34,45.04,PB,Total,Northern Zone
1458,Muktsar,556.09,642.88,118.77,71.5,860.48,748.4,79.57,59.26,77.42,88.99,47.64,8.59,79.15,68.34,64.86,97.73,48.43,29.38,88.62,42.93,93.62,3.73,96.88,79.72,34.11,2.77,2.52,31.54,14.61,63.88,47.86,41.29,17.29,22.81,PB,Total,Northern Zone
1461,Faridkot,610.31,714.19,135.44,70.49,888.33,968.05,83.68,64.17,76.88,83.87,50.31,9.92,73.85,72.99,83.91,88.09,40.45,34.48,93.82,37.62,95.53,3.31,97.82,94.27,43.89,3.88,5.43,34.82,10.9,60.56,42.36,52.95,27.86,42.9,PB,Total,Northern Zone
1464,Bathinda,795.0,960.76,154.83,71.09,914.15,990.89,84.96,62.66,76.15,88.63,50.79,5.71,77.27,79.64,66.7,89.78,37.77,29.24,92.47,46.71,94.72,4.39,92.61,71.49,31.69,10.64,8.6,24.65,12.33,44.57,45.81,37.31,25.03,43.83,PB,Total,Northern Zone
1466,Mansa,452.56,533.75,77.35,61.95,907.68,883.53,74.98,40.57,68.35,87.03,38.18,13.29,70.17,66.6,65.91,86.02,31.99,21.11,88.83,44.55,91.33,4.86,91.93,59.74,30.75,4.1,5.81,29.62,18.68,52.41,49.39,27.36,14.5,38.32,PB,Total,Northern Zone
1469,Patiala,1206.64,1475.43,233.87,76.76,902.52,908.64,87.45,68.57,83.63,94.16,57.76,5.59,68.46,72.78,63.48,85.03,37.28,25.75,93.86,44.57,96.86,2.44,95.28,74.72,36.4,9.9,11.02,17.61,9.59,49.33,40.86,31.43,20.96,38.28,PB,Total,Northern Zone
1472,Amritsar,1350.69,1678.48,238.26,77.35,916.04,772.14,78.3,72.79,78.53,84.95,53.06,10.28,71.6,85.15,76.11,98.53,43.91,37.44,88.32,66.74,90.02,3.54,91.91,61.63,33.46,5.91,6.36,22.39,11.01,44.98,53.27,38.23,22.09,37.61,PB,Total,Northern Zone
1474,Tarn Taran,630.43,774.11,107.1,70.26,914.02,961.68,77.9,55.08,75.48,76.27,46.01,7.67,76.79,77.29,50.08,97.15,57.6,33.07,87.01,47.03,90.51,4.96,96.49,77.44,26.28,3.47,2.37,23.15,13.65,53.28,45.9,44.57,25.6,23.25,PB,Total,Northern Zone
1476,Rupnagar,391.93,480.36,62.48,81.31,949.58,827.23,80.85,67.57,88.64,95.19,61.18,4.49,61.47,79.08,74.8,96.56,47.3,38.71,85.03,47.79,91.25,2.45,93.05,66.39,28.78,6.39,5.03,19.01,13.13,69.55,74.49,52.32,14.93,38.41,PB,Total,Northern Zone
1479,Sahibzada Ajit Singh Nagar,541.52,658.59,118.89,81.88,863.69,815.21,79.36,80.7,84.33,91.04,59.53,12.09,55.43,86.86,79.87,83.17,60.88,53.02,83.39,46.4,88.87,0.29,90.06,56.57,42.91,8.35,6.78,24.1,13.63,66.65,59.62,48.17,35.4,56.02,PB,Total,Northern Zone
1481,Sangrur,928.92,1171.71,179.27,68.49,892.56,736.18,87.67,51.8,74.29,86.04,47.77,8.4,56.63,57.43,54.74,83.84,33.26,21.89,80.23,35.61,88.01,3.71,79.04,63.27,18.03,4.63,7.62,27.26,14.84,51.4,47.08,17.17,12.12,29.92,PB,Total,Northern Zone
1484,Barnala,349.93,399.21,71.5,68.96,872.77,1025.52,85.54,54.39,77.08,80.55,46.04,11.11,68.35,68.46,57.5,90.99,39.22,23.02,84.8,33.6,96.29,2.98,90.92,81.85,34.4,9.41,12.01,24.59,13.15,51.53,42.72,31.59,18.43,29.89,PB,Total,Northern Zone
1487,Kachchh,692.58,762.73,177.01,60.96,943.83,1029.08,61.48,38.5,56.69,86.52,16.9,30.35,37.63,67.79,62.18,95.61,37.98,29.36,64.07,17.78,82.72,1.31,44.95,68.14,41.72,4.33,3.75,40.77,23.74,81.42,62.53,27.67,6.32,7.77,GJ,Total,Western Zone
1489,Banaskantha,944.39,1086.09,270.13,55.69,991.81,1048.78,39.6,27.56,56.08,86.55,14.57,47.86,41.2,69.02,59.05,79.0,23.26,16.76,53.98,10.79,89.26,1.4,35.26,56.63,49.56,7.74,7.63,40.67,38.43,57.18,50.03,22.57,5.89,11.85,GJ,Total,Western Zone
1491,Patan,436.45,498.53,111.25,61.41,945.33,870.93,56.29,32.49,61.4,78.01,18.26,35.04,40.37,61.88,67.81,90.75,21.49,17.81,63.02,17.79,92.28,1.64,30.67,71.56,41.68,2.98,4.48,37.63,30.19,67.18,59.58,36.33,11.91,11.49,GJ,Total,Western Zone
1493,Mahesana,752.27,844.22,206.77,74.53,919.84,785.38,66.06,54.9,77.05,90.23,31.14,32.6,45.44,80.4,81.29,87.78,34.03,27.34,69.03,12.05,96.44,0.31,55.09,65.39,53.96,5.7,4.61,40.46,26.82,77.79,61.93,20.47,5.27,12.27,GJ,Total,Western Zone
1495,Sabarkantha,816.42,930.81,241.16,66.45,957.24,896.79,46.69,29.9,68.15,92.28,31.67,37.01,43.6,74.05,66.35,90.43,27.51,22.95,60.4,9.22,88.92,3.32,49.05,60.56,46.46,4.03,3.37,50.57,37.07,72.52,67.19,25.06,5.96,8.35,GJ,Total,Western Zone
1498,Gandhinagar,537.0,593.56,167.9,69.42,930.78,1019.15,62.28,52.24,68.76,86.75,26.3,50.35,46.7,79.58,88.53,94.16,44.9,41.31,72.79,31.55,92.33,1.76,66.14,58.9,56.98,3.96,3.58,36.45,30.52,73.74,65.84,23.89,3.93,14.55,GJ,Total,Western Zone
1500,Ahmadabad,2550.53,2790.78,680.74,83.68,904.1,870.71,88.45,83.35,82.15,92.64,45.92,19.85,45.12,94.26,95.9,94.34,56.68,54.06,67.45,24.03,94.63,0.0,48.99,58.86,49.82,7.32,5.44,29.37,21.49,76.03,62.91,21.8,5.24,16.7,GJ,Total,Western Zone
1502,Surendranagar,585.28,631.5,174.8,63.26,953.56,998.37,47.7,36.51,66.48,85.59,22.36,24.68,55.48,63.02,51.99,88.55,26.86,18.76,54.45,8.13,81.04,4.9,37.54,82.18,51.83,3.82,2.79,45.54,25.68,76.8,61.47,28.74,7.24,13.27,GJ,Total,Western Zone
1505,Rajkot,1318.98,1440.99,353.67,74.85,915.57,773.35,72.26,65.19,82.71,91.94,42.99,15.44,40.3,82.74,86.84,91.31,41.56,38.75,56.46,10.29,92.54,2.23,51.36,71.74,52.74,12.94,10.26,30.89,17.4,57.61,52.59,22.98,6.72,10.51,GJ,Total,Western Zone
1508,Jamnagar,706.72,756.41,186.23,67.84,952.3,1004.39,68.03,56.81,72.51,85.17,28.56,18.76,35.43,78.65,80.19,95.92,44.17,39.0,56.2,15.91,95.77,1.16,71.42,70.21,34.95,12.39,11.55,27.93,19.47,75.7,63.77,31.76,8.78,9.83,GJ,Total,Western Zone
1511,Porbandar,200.19,212.85,48.22,71.55,941.22,802.69,72.38,48.43,78.51,90.61,33.38,17.17,34.62,73.0,56.86,97.66,43.71,32.7,66.2,15.12,97.32,2.09,68.82,91.11,58.65,0.0,0.0,22.62,14.0,70.84,59.15,17.01,3.61,7.72,GJ,Total,Western Zone
1514,Junagadh,871.2,994.18,225.53,71.75,974.23,892.64,75.11,47.82,77.01,88.51,38.9,10.52,54.84,75.13,76.24,88.75,27.93,23.33,59.6,17.63,90.64,3.48,56.54,82.13,48.44,2.36,1.93,27.9,16.93,77.08,59.72,28.64,7.62,12.03,GJ,Total,Western Zone
1516,Amreli,496.84,536.47,116.24,68.12,927.01,819.72,74.77,52.41,76.67,91.42,34.04,11.46,36.9,68.7,40.8,96.88,31.69,17.15,60.54,14.49,81.73,4.37,59.86,87.88,42.2,9.34,7.86,37.83,17.06,74.52,56.03,26.05,6.83,15.6,GJ,Total,Western Zone
1519,Bhavnagar,954.41,1065.0,236.61,67.48,944.07,948.75,65.78,46.28,66.49,93.18,19.34,14.3,34.42,70.16,47.19,89.52,32.22,18.91,57.55,18.49,93.26,2.78,52.44,88.58,52.98,6.12,4.44,48.39,21.47,69.2,54.03,22.12,5.8,12.43,GJ,Total,Western Zone
1522,Anand,765.36,890.76,249.06,77.72,962.24,851.33,67.18,43.13,76.72,91.9,30.94,27.42,43.79,79.72,78.48,81.76,39.77,29.83,81.8,25.01,92.64,1.19,61.44,77.63,67.18,3.51,3.38,48.22,35.99,59.69,50.35,18.93,5.34,11.96,GJ,Total,Western Zone
1524,Kheda,778.53,919.57,217.03,69.54,958.14,926.66,51.31,28.61,70.86,91.89,22.44,41.65,32.54,60.06,49.63,68.19,32.73,22.27,59.07,12.41,89.73,3.87,39.52,71.65,59.49,4.22,4.77,45.53,38.51,53.69,54.53,20.52,6.53,7.08,GJ,Total,Western Zone
1526,Panchmahal,744.66,907.66,199.0,66.32,1063.83,919.25,39.78,25.2,64.71,91.79,28.82,26.56,23.07,59.99,51.21,67.94,19.82,14.85,53.95,11.5,79.58,4.07,30.23,66.35,37.77,4.83,4.24,40.37,46.72,50.17,50.38,24.35,10.84,6.88,GJ,Total,Western Zone
1528,Dohad,549.56,619.27,109.16,57.92,1103.79,1041.28,21.89,15.34,52.23,77.95,25.05,32.83,30.57,49.23,39.23,78.92,13.59,7.49,57.92,5.12,84.26,0.83,32.95,73.57,36.62,8.19,7.27,44.37,44.12,58.92,56.27,29.12,17.48,18.96,GJ,Total,Western Zone
1531,Vadodara,1372.14,1461.97,362.0,72.6,943.95,1158.73,60.79,52.13,71.55,87.0,31.33,23.98,46.0,74.15,70.99,80.7,37.55,32.81,66.13,14.84,79.98,2.49,63.25,69.35,49.51,8.3,6.62,43.76,29.09,54.28,49.23,21.89,6.48,10.44,GJ,Total,Western Zone
1533,Narmada,199.27,230.5,53.23,67.35,997.15,850.66,34.78,15.34,70.18,84.75,23.71,33.08,54.24,75.62,70.52,80.44,45.31,30.7,64.76,18.82,77.49,1.26,69.27,69.37,51.7,4.25,4.87,47.44,44.08,53.55,55.57,25.12,3.07,6.62,GJ,Total,Western Zone
1536,Bharuch,561.72,594.17,152.32,73.66,972.63,1037.42,67.21,49.21,72.41,85.02,29.62,24.33,57.02,83.44,86.4,84.44,51.26,46.37,69.1,22.01,81.05,1.81,56.91,75.01,67.62,8.32,11.48,41.47,31.31,56.81,51.96,21.22,4.14,11.43,GJ,Total,Western Zone
1538,The Dangs,72.99,79.39,19.38,67.73,964.73,960.79,19.39,9.1,56.93,74.8,16.3,37.59,38.69,57.99,47.55,89.0,38.79,22.37,38.3,9.89,53.19,1.96,44.29,72.67,42.29,2.02,1.89,48.06,44.08,74.06,72.33,25.93,5.67,6.59,GJ,Total,Western Zone
1541,Navsari,505.87,554.41,110.06,78.32,1036.19,846.95,68.77,53.19,84.34,88.38,41.97,17.61,62.2,87.19,91.87,89.48,58.49,54.16,75.29,24.36,95.17,0.32,78.45,73.64,58.18,4.18,3.43,38.9,29.45,51.94,52.07,26.3,6.5,18.21,GJ,Total,Western Zone
1544,Valsad,624.17,679.94,161.39,76.47,995.35,1188.89,61.22,56.66,76.18,92.95,45.31,19.93,38.35,69.86,55.74,79.39,40.47,28.35,59.65,12.33,76.05,6.27,52.88,82.12,70.44,5.0,8.34,43.28,22.91,50.38,50.86,20.06,4.43,9.04,GJ,Total,Western Zone
1546,Surat,2195.68,2511.26,659.0,82.85,881.1,683.71,77.39,83.4,80.96,92.47,44.15,16.56,47.98,68.9,71.63,89.02,35.48,31.48,69.43,12.65,92.69,2.61,47.95,77.91,46.0,0.0,0.0,29.97,18.41,42.34,39.02,35.65,14.21,17.53,GJ,Total,Western Zone
1548,Tapi,290.78,338.97,79.34,64.75,1064.5,882.81,38.59,22.7,67.24,88.67,32.53,17.15,51.17,67.13,74.48,94.77,42.81,33.54,60.03,19.63,83.2,5.0,72.87,82.81,35.89,7.44,9.39,35.87,43.35,49.47,54.35,23.99,5.51,5.91,GJ,Total,Western Zone
