,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1307,Paschim Medinipur,805.0,1013.0,114.0,74.7,1050.0,862.0,40.9,13.9,70.7,82.9,24.3,52.1,62.0,49.7,84.0,96.4,26.0,20.6,74.7,35.9,77.7,7.3,92.2,73.4,48.1,32.3,31.8,29.4,29.9,53.0,67.0,1.4,0.5,0.6,WB,Total,Eastern Zone
1309,Purba Medinipur,800.0,925.0,140.0,78.8,991.0,998.0,66.9,10.9,76.1,89.3,28.6,43.1,59.5,41.9,79.3,98.0,29.7,23.1,60.4,18.6,74.1,14.1,92.6,71.3,28.0,16.4,17.4,29.9,19.4,42.5,59.0,3.7,1.0,1.4,WB,Total,Eastern Zone
1312,Korea,523.0,611.0,89.5,65.98,1010.0,957.0,24.52,18.7,61.47,83.29,22.56,31.05,47.48,69.59,45.09,94.72,39.29,21.36,64.39,30.52,70.67,7.5,74.58,76.07,46.4,13.93,14.25,30.62,24.71,33.71,36.55,14.51,6.94,7.28,CT,Total,Central Zone
1314,Surguja,1904.0,2000.0,292.6,59.52,1024.0,1052.0,18.15,12.38,53.02,79.07,19.98,42.83,38.36,52.46,41.73,87.07,18.43,12.49,45.54,13.12,64.7,5.24,64.33,61.94,33.87,12.64,12.52,32.25,35.91,38.61,35.14,15.37,8.43,7.12,CT,Total,Central Zone
1316,Jashpur,670.0,707.0,108.7,63.73,995.0,961.0,15.13,7.62,65.77,76.72,23.15,31.81,45.21,58.98,34.55,93.39,25.56,12.61,41.71,15.49,60.79,6.78,50.43,64.75,37.78,10.9,10.7,35.1,28.29,31.11,35.73,9.56,6.79,6.98,CT,Total,Central Zone
1318,Raigarh,1266.0,1417.0,217.3,67.42,985.0,934.0,26.73,19.58,67.65,86.23,25.74,21.37,49.33,78.55,67.67,93.06,21.01,14.7,68.59,34.62,66.79,11.7,68.52,79.64,39.86,12.73,12.02,39.22,28.37,38.84,41.62,20.39,12.74,7.44,CT,Total,Central Zone
1321,Korba,1009.0,1286.0,173.8,69.37,1022.0,961.0,34.25,26.5,66.22,82.88,27.8,20.24,50.39,73.41,52.86,92.99,24.21,15.64,54.86,20.01,67.05,6.25,80.79,66.15,46.26,6.91,7.37,33.22,29.91,39.09,45.13,20.99,10.75,9.06,CT,Total,Central Zone
1323,Janjgir - Champa,1324.0,1619.0,237.1,68.71,1038.0,819.0,29.03,18.93,72.84,91.52,32.83,18.22,59.05,68.59,44.26,93.12,17.56,12.0,49.63,24.51,62.36,7.58,70.47,61.67,40.65,18.73,18.51,36.84,27.01,35.6,39.86,9.74,2.92,3.61,CT,Total,Central Zone
1325,Bilaspur,2248.0,2950.0,427.0,70.89,1013.0,1067.0,40.02,28.17,70.13,87.47,26.47,21.44,60.52,71.87,60.7,96.28,39.25,27.34,81.62,42.44,77.63,7.49,81.98,79.48,54.78,12.86,12.03,34.08,13.53,31.06,39.08,25.63,9.26,12.11,CT,Total,Central Zone
1327,Kabirdham,618.0,754.0,97.4,58.25,1031.0,887.0,20.81,10.31,51.73,80.98,17.57,30.71,56.76,64.67,43.59,95.32,19.03,9.95,49.34,32.96,44.62,11.49,61.49,73.91,50.79,14.63,13.86,40.4,32.87,37.56,34.94,17.47,9.82,5.71,CT,Total,Central Zone
