,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
908,Nizamabad,591.0,578.0,63.0,48.1,1138.0,820.0,36.3,46.7,50.1,77.6,28.1,33.3,43.9,68.5,71.3,84.7,48.7,34.6,90.5,32.4,93.8,1.0,64.6,73.8,29.4,5.4,6.4,37.3,29.7,70.2,55.4,39.8,10.9,8.3,TG,Rural,Southern Zone
909,Nizamabad,763.0,752.0,83.0,55.5,1101.0,752.0,42.3,56.9,59.2,79.4,35.8,23.9,47.0,70.5,71.2,86.0,49.6,35.7,88.6,27.6,92.6,1.9,64.2,75.3,30.7,4.0,4.8,36.6,26.5,65.9,56.0,34.5,10.0,7.0,TG,Total,Southern Zone
911,Karimnagar,776.0,728.0,99.0,58.2,1102.0,881.0,53.9,70.7,68.3,83.1,45.5,12.7,38.6,83.4,73.7,90.2,47.3,32.8,92.2,40.6,97.0,2.2,84.3,73.6,35.9,3.2,2.9,24.3,23.3,52.1,52.3,30.7,13.1,10.4,TG,Total,Southern Zone
912,Medak,589.0,569.0,83.0,51.3,1023.0,932.0,49.7,34.4,51.7,81.1,31.1,35.2,47.6,76.2,64.4,84.6,30.9,26.6,77.8,36.9,88.0,4.8,90.3,72.5,43.8,6.6,8.1,32.0,31.8,68.2,57.9,33.1,6.7,10.0,TG,Rural,Southern Zone
913,Medak,760.0,743.0,107.0,57.0,1007.0,1026.0,53.3,48.7,57.8,83.9,35.3,31.6,49.1,79.2,68.3,82.5,36.4,31.0,83.0,37.8,91.3,3.0,81.4,75.4,49.4,11.3,11.9,33.4,29.0,67.5,57.3,33.2,7.5,11.3,TG,Total,Southern Zone
914,Hyderabad,766.0,830.0,109.0,79.8,934.0,827.0,73.2,91.6,79.8,85.9,58.4,10.5,55.5,90.4,85.8,94.4,73.1,62.6,79.0,10.6,97.2,2.6,71.3,73.9,40.8,28.5,26.1,15.7,12.9,54.9,54.0,29.6,3.9,14.0,TG,Urban,Southern Zone
915,Hyderabad,766.0,830.0,109.0,79.8,934.0,827.0,73.2,91.6,79.8,85.9,58.4,10.5,55.5,90.4,85.8,94.4,73.1,62.6,79.0,10.6,97.2,2.6,71.3,73.9,40.8,28.5,26.1,15.7,12.9,54.9,54.0,29.6,3.9,14.0,TG,Total,Southern Zone
916,Rangareddy,527.0,520.0,74.0,79.6,976.0,783.0,54.9,94.9,82.6,95.5,61.6,20.8,68.7,89.5,73.8,86.4,51.6,39.8,87.1,17.9,96.2,0.5,66.4,70.0,31.6,4.8,6.7,22.8,17.3,42.8,52.5,33.0,22.0,10.0,TG,Urban,Southern Zone
917,Rangareddy,757.0,762.0,118.0,71.8,967.0,837.0,51.2,84.4,75.9,88.6,55.4,22.8,68.6,89.0,77.3,87.7,53.8,43.0,81.0,16.2,95.3,1.0,68.1,70.9,32.0,4.7,6.3,26.2,19.3,48.2,54.9,28.0,17.6,9.6,TG,Total,Southern Zone
918,Mahbubnagar,665.0,637.0,87.0,45.5,993.0,905.0,25.4,39.4,40.8,69.2,24.1,51.6,66.1,81.1,58.8,88.8,46.9,34.4,68.8,19.8,76.4,6.2,47.2,72.9,36.4,5.3,4.8,38.1,31.1,65.8,51.1,24.1,6.4,4.5,TG,Rural,Southern Zone
