,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
0,Senapati,855.0,1009.0,134.0,high,medium,low,low,medium,low,high,high,medium,low,low,medium,low,low,medium,medium,low,medium,medium,low,medium,low,low,low,low,low,low,MN,Rural,North Eastern Zone
1,Senapati,896.0,1052.0,143.0,high,medium,low,low,medium,low,high,high,medium,low,low,medium,low,medium,medium,medium,low,medium,medium,low,medium,low,low,low,low,low,low,MN,Total,North Eastern Zone
2,Tamenglong,777.0,797.0,111.0,medium,medium,medium,low,medium,low,medium,high,low,low,low,low,low,low,low,medium,low,high,medium,medium,medium,low,low,low,low,low,low,MN,Rural,North Eastern Zone
3,Tamenglong,905.0,964.0,129.0,medium,medium,medium,low,medium,low,medium,high,low,low,low,low,low,low,low,medium,low,high,medium,medium,medium,low,low,low,low,low,low,MN,Total,North Eastern Zone
4,Churachandpur,732.0,784.0,105.0,high,medium,medium,low,medium,medium,high,high,medium,low,low,medium,low,medium,low,medium,low,medium,medium,low,medium,low,low,low,low,low,low,MN,Rural,North Eastern Zone
5,Churachandpur,792.0,852.0,114.0,high,medium,medium,low,medium,medium,high,high,medium,low,low,medium,low,medium,low,medium,low,medium,medium,low,medium,low,low,low,low,low,low,MN,Total,North Eastern Zone
6,Bishnupur,926.0,1119.0,133.0,high,medium,low,low,medium,medium,high,high,medium,low,low,high,medium,high,low,high,low,high,medium,medium,low,low,low,low,low,low,low,MN,Urban,North Eastern Zone
7,Bishnupur,924.0,1138.0,138.0,high,medium,low,low,medium,low,high,high,medium,low,low,high,medium,high,low,high,low,high,medium,low,low,low,low,low,low,low,low,MN,Rural,North Eastern Zone
8,Bishnupur,1850.0,2257.0,271.0,high,medium,low,low,medium,medium,high,high,medium,low,low,high,medium,high,low,high,low,high,medium,medium,low,low,low,low,low,low,low,MN,Total,North Eastern Zone
9,Thoubal,918.0,1129.0,146.0,high,medium,medium,low,medium,medium,high,high,medium,low,low,high,medium,high,low,medium,low,medium,medium,medium,low,low,low,low,low,low,low,MN,Urban,North Eastern Zone
10,Thoubal,923.0,1173.0,148.0,medium,medium,low,low,medium,low,high,high,medium,low,low,high,medium,high,low,high,low,medium,medium,medium,medium,low,low,low,low,low,low,MN,Rural,North Eastern Zone
11,Thoubal,1841.0,2302.0,294.0,high,medium,medium,low,medium,medium,high,high,medium,low,low,high,medium,high,low,medium,low,medium,medium,medium,medium,low,low,low,low,low,low,MN,Total,North Eastern Zone
12,Imphal West,915.0,1029.0,134.0,high,medium,medium,medium,medium,high,high,high,high,low,low,high,high,high,low,high,medium,medium,medium,medium,low,low,low,low,low,low,low,MN,Urban,North Eastern Zone
13,Imphal West,923.0,1100.0,135.0,high,medium,medium,low,medium,medium,high,high,medium,low,low,high,medium,high,low,high,medium,medium,medium,medium,low,low,low,low,low,low,low,MN,Rural,North Eastern Zone
14,Imphal West,1838.0,2129.0,269.0,high,medium,medium,medium,medium,medium,high,high,high,low,low,high,medium,high,low,high,medium,medium,medium,medium,low,low,low,low,low,low,low,MN,Total,North Eastern Zone
15,Imphal East,893.0,1130.0,133.0,high,medium,low,low,medium,high,high,high,medium,low,low,high,medium,high,low,high,low,medium,low,low,low,low,low,low,low,low,low,MN,Urban,North Eastern Zone
16,Imphal East,927.0,1102.0,150.0,high,medium,medium,low,medium,medium,high,high,medium,low,low,high,medium,high,low,high,low,high,medium,medium,low,low,low,low,low,low,low,MN,Rural,North Eastern Zone
17,Imphal East,1820.0,2232.0,283.0,high,medium,low,low,medium,medium,high,high,medium,low,low,high,medium,high,low,high,low,high,medium,medium,low,low,low,low,low,low,low,MN,Total,North Eastern Zone
18,Ukhrul,747.0,683.0,100.0,high,medium,medium,low,medium,low,high,high,medium,low,low,low,low,low,low,medium,low,high,medium,medium,medium,low,low,low,low,low,low,MN,Rural,North Eastern Zone
19,Ukhrul,890.0,833.0,120.0,high,medium,medium,low,medium,low,high,high,medium,low,low,low,low,low,low,medium,low,high,medium,medium,medium,low,low,low,low,low,low,MN,Total,North Eastern Zone
20,Chandel,792.0,841.0,104.0,medium,medium,medium,low,medium,low,high,high,medium,low,low,medium,low,medium,medium,medium,low,medium,low,low,medium,low,low,low,low,low,low,MN,Rural,North Eastern Zone
21,Chandel,892.0,972.0,124.0,high,medium,medium,low,medium,low,high,high,medium,low,low,medium,low,medium,medium,medium,low,medium,low,low,medium,low,low,low,low,low,low,MN,Total,North Eastern Zone
22,Bargarh,1075.27,1179.8,169.82,medium,medium,medium,high,low,low,medium,high,low,low,medium,medium,medium,high,low,high,high,high,low,low,medium,medium,high,high,low,low,low,OR,Rural,Eastern Zone
23,Bargarh,1181.31,1282.25,188.72,medium,medium,medium,high,low,low,medium,high,low,low,medium,medium,medium,high,low,high,high,high,low,low,medium,medium,high,high,low,low,low,OR,Total,Eastern Zone
24,Jharsuguda,166.17,205.14,27.3,high,medium,medium,high,medium,medium,high,high,medium,low,high,high,medium,high,low,high,high,high,low,low,low,low,high,high,medium,low,low,OR,Urban,Eastern Zone
25,Jharsuguda,259.38,297.39,40.32,medium,medium,medium,high,low,low,medium,high,low,low,high,high,medium,high,low,high,high,high,low,low,medium,medium,high,high,medium,low,low,OR,Rural,Eastern Zone
26,Jharsuguda,425.55,502.54,67.62,medium,medium,medium,high,medium,low,high,high,medium,low,high,high,medium,high,low,high,high,high,low,low,medium,medium,high,high,medium,low,low,OR,Total,Eastern Zone
27,Sambalpur,545.5,587.35,76.59,medium,medium,medium,high,low,low,medium,high,low,low,medium,high,medium,high,low,high,medium,medium,low,low,medium,medium,high,high,medium,low,low,OR,Rural,Eastern Zone
28,Sambalpur,766.34,853.86,113.92,medium,medium,medium,high,low,low,medium,high,low,low,medium,high,medium,high,low,high,medium,medium,low,low,medium,medium,high,high,medium,low,low,OR,Total,Eastern Zone
29,Debagarh,220.77,222.15,25.08,medium,medium,medium,high,low,low,medium,medium,low,medium,medium,medium,medium,high,low,medium,high,high,low,low,medium,medium,low,medium,low,low,low,OR,Rural,Eastern Zone
30,Debagarh,233.82,238.04,28.5,medium,medium,medium,high,low,low,medium,medium,low,low,medium,medium,medium,high,low,high,high,high,low,low,medium,medium,low,medium,low,low,low,OR,Total,Eastern Zone
31,Sundargarh,501.3,621.14,86.13,high,medium,medium,high,medium,medium,high,high,medium,low,medium,high,medium,high,low,high,high,high,medium,medium,medium,medium,medium,high,medium,low,low,OR,Urban,Eastern Zone
32,Sundargarh,924.98,1145.83,130.43,medium,medium,medium,high,low,low,medium,high,low,low,medium,high,medium,high,low,high,medium,high,medium,low,medium,medium,high,high,medium,low,low,OR,Rural,Eastern Zone
33,Sundargarh,1426.28,1766.97,216.55,medium,medium,medium,high,medium,low,medium,high,medium,low,medium,high,medium,high,low,high,medium,high,medium,medium,medium,medium,high,high,medium,low,low,OR,Total,Eastern Zone
34,Kendujhar,1103.31,1184.78,131.12,medium,medium,low,high,low,low,medium,high,low,medium,medium,medium,medium,high,low,high,high,medium,low,low,medium,medium,low,medium,medium,low,low,OR,Rural,Eastern Zone
35,Kendujhar,1316.82,1444.45,185.09,medium,medium,low,high,low,low,medium,high,low,medium,medium,medium,medium,high,low,high,high,medium,low,low,medium,medium,low,medium,medium,low,low,OR,Total,Eastern Zone
36,Mayurbhanj,1613.75,1677.69,205.58,medium,medium,medium,high,low,low,medium,medium,low,medium,medium,high,medium,high,low,high,high,medium,low,low,medium,medium,low,medium,medium,low,low,OR,Rural,Eastern Zone
37,Mayurbhanj,1737.81,1828.71,240.46,medium,medium,medium,high,low,low,medium,medium,low,medium,medium,high,medium,high,low,high,high,medium,low,low,medium,medium,low,medium,medium,low,low,OR,Total,Eastern Zone
38,Baleshwar,1491.31,1632.0,194.53,medium,medium,medium,high,low,low,high,high,low,low,medium,medium,low,high,low,high,medium,medium,low,low,medium,medium,low,medium,low,low,low,OR,Rural,Eastern Zone
39,Baleshwar,1687.1,1874.98,222.63,medium,medium,medium,high,medium,low,high,high,low,medium,medium,medium,low,high,low,high,medium,medium,low,low,medium,medium,low,medium,low,low,low,OR,Total,Eastern Zone
40,Bhadrak,927.3,1057.76,111.35,high,medium,low,high,low,low,high,high,low,low,low,low,low,high,low,high,high,medium,low,low,medium,medium,low,medium,low,low,low,OR,Rural,Eastern Zone
41,Bhadrak,1057.36,1219.36,126.1,medium,medium,low,high,low,low,high,high,low,low,low,medium,low,high,low,high,high,medium,low,low,medium,medium,low,medium,low,low,low,OR,Total,Eastern Zone
42,Kendrapara,975.71,1084.54,95.27,high,high,medium,high,low,low,high,medium,low,low,medium,medium,low,high,low,high,medium,medium,low,low,low,medium,low,medium,medium,low,low,OR,Rural,Eastern Zone
43,Kendrapara,1028.3,1133.65,99.84,high,high,medium,high,low,low,high,medium,low,low,medium,medium,low,high,low,high,medium,medium,low,low,low,medium,low,medium,medium,low,low,OR,Total,Eastern Zone
44,Jagatsinghapur,725.27,819.2,89.89,high,medium,medium,high,low,low,high,high,medium,low,medium,high,medium,high,low,high,high,medium,medium,low,low,low,low,medium,medium,low,low,OR,Rural,Eastern Zone
45,Jagatsinghapur,800.58,913.41,98.21,high,medium,medium,high,low,low,high,high,medium,low,medium,high,medium,high,low,high,high,medium,medium,low,low,low,low,medium,medium,low,low,OR,Total,Eastern Zone
46,Cuttack,1336.47,1388.22,181.52,high,medium,medium,high,low,low,high,high,low,low,medium,medium,low,high,low,high,high,high,low,low,low,medium,low,medium,low,low,low,OR,Rural,Eastern Zone
47,Cuttack,1825.39,1912.87,276.88,high,medium,medium,high,medium,low,high,high,medium,low,medium,medium,medium,high,low,high,high,high,low,low,low,low,low,medium,low,low,low,OR,Total,Eastern Zone
48,Jajapur,1137.63,1344.64,173.71,medium,medium,low,high,low,low,high,high,medium,low,medium,medium,medium,high,low,high,high,medium,low,low,medium,medium,low,medium,medium,low,low,OR,Rural,Eastern Zone
49,Jajapur,1235.2,1462.13,209.59,medium,medium,low,high,low,low,high,high,medium,low,medium,medium,medium,high,low,high,high,medium,low,low,medium,medium,low,medium,medium,low,low,OR,Total,Eastern Zone
50,Dhenkanal,791.41,840.37,114.38,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium,medium,medium,high,low,high,medium,high,low,low,low,medium,medium,medium,medium,low,low,OR,Rural,Eastern Zone
51,Dhenkanal,881.56,945.22,132.01,medium,medium,medium,medium,low,low,medium,high,medium,medium,medium,high,medium,high,low,high,medium,high,low,low,low,medium,medium,medium,medium,low,low,OR,Total,Eastern Zone
52,Anugul,760.13,896.46,108.71,medium,low,low,medium,low,low,medium,high,low,low,medium,high,medium,high,low,high,medium,high,low,low,medium,medium,low,medium,low,low,low,OR,Rural,Eastern Zone
53,Anugul,920.19,1112.98,150.64,medium,low,low,high,low,low,medium,high,low,low,medium,high,medium,high,low,high,medium,high,low,low,medium,medium,medium,medium,medium,low,low,OR,Total,Eastern Zone
54,Nayagarh,638.2,684.99,76.54,medium,medium,low,high,low,low,high,high,low,medium,medium,medium,medium,high,low,high,high,medium,low,low,low,low,low,medium,medium,low,low,OR,Rural,Eastern Zone
55,Nayagarh,694.84,750.88,91.55,medium,medium,low,high,low,low,high,high,low,medium,medium,medium,medium,high,low,high,high,medium,low,low,low,low,low,medium,medium,low,low,OR,Total,Eastern Zone
56,Khordha,926.93,1022.01,134.96,high,low,medium,high,medium,high,high,high,medium,low,medium,medium,medium,high,low,medium,high,medium,low,low,low,low,low,medium,low,low,low,OR,Urban,Eastern Zone
57,Khordha,763.82,824.82,92.13,high,medium,low,medium,low,low,high,high,low,low,medium,medium,medium,high,low,high,high,high,medium,low,low,low,low,medium,low,low,low,OR,Rural,Eastern Zone
58,Khordha,1690.74,1846.83,227.09,high,medium,medium,high,medium,medium,high,high,medium,low,medium,medium,medium,high,low,high,high,high,low,low,low,low,low,medium,low,low,low,OR,Total,Eastern Zone
59,Puri,1032.56,1219.53,134.77,high,medium,medium,high,medium,low,high,high,low,low,medium,high,medium,high,low,high,high,medium,medium,medium,low,low,low,medium,high,low,low,OR,Rural,Eastern Zone
60,Puri,1220.3,1463.6,185.18,high,medium,medium,high,medium,low,high,high,low,low,high,high,medium,high,low,high,high,medium,medium,medium,low,low,low,medium,high,low,low,OR,Total,Eastern Zone
61,Ganjam,1847.42,1960.39,195.08,medium,medium,low,high,low,low,medium,medium,low,medium,medium,medium,low,high,low,medium,medium,high,low,low,medium,medium,medium,medium,medium,low,low,OR,Rural,Eastern Zone
62,Ganjam,2350.09,2523.77,252.07,medium,medium,low,high,medium,medium,medium,high,low,medium,medium,medium,low,high,low,medium,medium,high,low,low,low,medium,medium,medium,medium,low,low,OR,Total,Eastern Zone
63,Gajapati,353.73,378.9,56.1,low,medium,low,medium,low,low,low,low,low,medium,medium,medium,low,medium,low,medium,medium,high,low,low,medium,medium,medium,high,medium,low,low,OR,Rural,Eastern Zone
64,Gajapati,408.78,437.76,63.05,low,medium,low,medium,medium,low,low,low,low,medium,high,medium,low,medium,low,medium,medium,high,low,low,medium,medium,medium,medium,medium,low,low,OR,Total,Eastern Zone
65,Kandhamal,481.44,573.1,71.89,medium,medium,medium,medium,low,low,medium,high,low,low,medium,medium,medium,high,low,high,high,medium,low,low,medium,medium,medium,medium,high,low,low,OR,Rural,Eastern Zone
66,Kandhamal,524.46,628.95,77.21,medium,medium,medium,medium,low,low,medium,high,low,low,medium,medium,medium,high,low,high,high,medium,low,low,medium,medium,medium,medium,high,low,low,OR,Total,Eastern Zone
67,Baudh,314.52,352.99,45.59,medium,medium,medium,high,low,low,medium,high,low,low,medium,high,medium,high,low,high,medium,high,low,low,medium,medium,medium,medium,medium,low,low,OR,Rural,Eastern Zone
68,Baudh,327.13,365.92,47.76,medium,medium,medium,high,low,low,medium,high,low,low,medium,high,medium,high,low,high,medium,high,low,low,medium,medium,medium,medium,medium,low,low,OR,Total,Eastern Zone
69,Subarnapur,435.4,515.39,64.91,medium,medium,medium,high,low,low,medium,high,low,low,medium,high,medium,high,low,high,high,high,medium,low,medium,medium,high,high,medium,low,low,OR,Rural,Eastern Zone
70,Subarnapur,469.3,555.64,74.85,medium,medium,medium,high,low,low,medium,high,low,low,medium,high,medium,high,low,high,high,high,medium,medium,medium,medium,high,high,medium,low,low,OR,Total,Eastern Zone
71,Balangir,1247.85,1397.73,165.06,medium,medium,medium,high,low,low,medium,high,low,low,medium,high,medium,high,low,high,medium,high,low,low,medium,medium,high,high,medium,low,low,OR,Rural,Eastern Zone
72,Balangir,1406.31,1570.49,188.42,medium,medium,medium,high,low,low,medium,high,low,low,medium,high,medium,high,low,high,medium,high,low,low,medium,medium,high,high,medium,low,low,OR,Total,Eastern Zone
73,Nuapada,449.19,518.15,57.02,medium,medium,medium,high,low,low,medium,medium,low,low,medium,high,medium,high,low,high,medium,high,low,low,medium,medium,medium,high,medium,low,low,OR,Rural,Eastern Zone
74,Nuapada,475.4,549.51,60.28,medium,medium,medium,high,low,low,medium,medium,low,low,medium,high,medium,high,low,high,medium,high,low,low,medium,medium,medium,high,medium,low,low,OR,Total,Eastern Zone
75,Kalahandi,1146.19,1121.57,131.0,low,medium,low,high,low,low,low,medium,low,low,medium,medium,medium,high,low,high,high,high,low,low,medium,high,high,high,low,low,low,OR,Rural,Eastern Zone
76,Kalahandi,1232.35,1215.67,153.64,low,medium,low,high,low,low,low,medium,low,low,medium,medium,medium,high,low,high,high,high,low,low,medium,medium,high,high,low,low,low,OR,Total,Eastern Zone
77,Rayagada,565.75,633.18,84.85,low,medium,medium,high,low,low,low,low,low,medium,medium,medium,medium,high,low,high,high,high,low,low,medium,high,medium,medium,medium,low,low,OR,Rural,Eastern Zone
78,Rayagada,673.85,758.55,104.33,low,medium,medium,high,low,low,low,low,low,medium,medium,medium,medium,high,low,high,high,high,low,low,medium,medium,medium,medium,medium,low,low,OR,Total,Eastern Zone
79,Nabarangapur,755.58,938.44,125.51,low,medium,medium,high,low,low,low,low,low,medium,medium,high,medium,medium,low,high,high,medium,low,low,medium,high,high,high,high,low,low,OR,Rural,Eastern Zone
80,Nabarangapur,821.9,1023.99,138.57,low,medium,medium,high,low,low,low,low,low,medium,medium,high,medium,medium,low,high,high,medium,low,low,medium,high,high,high,high,low,low,OR,Total,Eastern Zone
81,Koraput,846.2,875.16,100.23,low,medium,low,high,low,low,low,medium,low,medium,medium,medium,medium,medium,low,medium,medium,high,low,low,medium,high,high,high,medium,low,low,OR,Rural,Eastern Zone
82,Koraput,994.7,1051.04,129.68,low,medium,low,high,low,low,low,medium,low,medium,medium,medium,medium,medium,low,medium,medium,high,low,low,medium,medium,high,high,medium,low,low,OR,Total,Eastern Zone
83,Malkangiri,395.19,444.0,51.74,low,medium,low,high,low,low,low,low,low,medium,medium,high,medium,medium,low,high,medium,medium,medium,medium,medium,high,high,high,medium,low,low,OR,Rural,Eastern Zone
84,Malkangiri,428.24,487.01,61.12,low,medium,medium,high,low,low,low,low,low,medium,medium,high,medium,medium,low,high,medium,medium,medium,medium,medium,high,high,high,medium,low,low,OR,Total,Eastern Zone
86,Mamit,658.95,632.64,95.72,high,low,medium,high,medium,low,high,high,low,low,medium,medium,medium,medium,low,low,medium,high,low,low,medium,low,low,low,low,low,low,MZ,Rural,North Eastern Zone
87,Mamit,821.15,783.43,121.66,high,medium,medium,high,medium,medium,high,high,low,low,medium,medium,medium,medium,low,medium,medium,high,low,low,medium,low,low,low,low,low,low,MZ,Total,North Eastern Zone
88,Kolasib,520.0,492.96,66.09,high,medium,medium,high,high,high,high,high,medium,low,medium,high,high,high,low,medium,high,high,medium,medium,low,low,medium,medium,low,low,low,MZ,Urban,North Eastern Zone
89,Kolasib,159.13,138.64,19.81,high,low,medium,high,high,medium,high,high,low,low,medium,medium,medium,medium,low,medium,medium,high,medium,medium,medium,low,medium,medium,low,low,low,MZ,Rural,North Eastern Zone
90,Kolasib,679.13,631.6,85.9,high,medium,medium,high,high,high,high,high,medium,low,medium,high,high,high,low,medium,high,high,medium,medium,low,low,medium,medium,low,low,low,MZ,Total,North Eastern Zone
91,Aizwal,3864.87,4659.93,630.6,high,medium,low,high,high,high,high,high,medium,low,medium,high,medium,high,low,medium,high,medium,medium,medium,low,low,low,low,medium,low,medium,MZ,Urban,North Eastern Zone
93,Aizwal,4796.48,5653.18,744.4,high,medium,low,high,high,high,high,high,medium,low,medium,high,high,high,low,medium,high,medium,medium,medium,low,low,low,low,medium,low,medium,MZ,Total,North Eastern Zone
94,Champhai,523.64,539.0,72.25,high,medium,medium,high,high,high,high,high,medium,low,medium,medium,medium,high,low,medium,high,medium,medium,medium,low,low,low,low,low,low,low,MZ,Urban,North Eastern Zone
95,Champhai,648.83,650.61,95.32,high,medium,medium,high,high,low,high,high,low,low,medium,medium,medium,high,low,medium,high,medium,medium,medium,medium,low,low,low,low,low,low,MZ,Rural,North Eastern Zone
96,Champhai,1172.47,1189.61,167.57,high,medium,medium,high,high,medium,high,high,low,low,medium,medium,medium,high,low,medium,high,medium,medium,medium,medium,low,low,low,low,low,low,MZ,Total,North Eastern Zone
97,Serchhip,343.85,344.72,47.78,high,medium,low,high,high,high,high,high,medium,low,medium,high,high,high,low,medium,high,high,medium,low,low,low,low,low,low,low,low,MZ,Urban,North Eastern Zone
98,Serchhip,138.7,126.6,17.07,high,low,medium,high,high,low,high,high,low,low,medium,medium,medium,high,medium,medium,high,high,high,high,medium,low,low,low,low,low,low,MZ,Rural,North Eastern Zone
99,Serchhip,482.55,471.32,64.85,high,low,medium,high,high,high,high,high,medium,low,medium,high,high,high,low,medium,high,high,medium,medium,low,low,low,low,low,low,low,MZ,Total,North Eastern Zone
100,Lunglei,752.44,795.12,91.31,high,medium,low,high,high,high,high,high,medium,low,medium,high,medium,high,low,medium,high,medium,low,low,low,low,low,low,low,low,low,MZ,Urban,North Eastern Zone
101,Lunglei,1004.85,948.39,129.2,high,low,low,high,medium,low,high,high,low,medium,low,low,medium,medium,low,medium,medium,medium,low,low,low,low,low,medium,low,low,low,MZ,Rural,North Eastern Zone
102,Lunglei,1757.28,1743.51,220.51,high,low,low,high,high,medium,high,high,medium,low,medium,medium,medium,high,low,medium,medium,medium,low,low,low,low,low,medium,low,low,low,MZ,Total,North Eastern Zone
104,Lawngtlai,967.23,1010.72,106.55,medium,medium,medium,high,medium,low,medium,high,low,low,low,low,medium,low,low,low,low,high,low,low,medium,low,low,medium,low,low,low,MZ,Rural,North Eastern Zone
105,Lawngtlai,1210.9,1283.77,162.1,medium,medium,medium,medium,medium,medium,medium,high,low,low,low,medium,medium,medium,low,medium,medium,high,low,low,medium,low,low,medium,low,low,low,MZ,Total,North Eastern Zone
106,Saiha,241.82,290.14,33.56,high,medium,medium,high,high,high,high,high,medium,low,medium,medium,medium,high,low,medium,medium,high,low,low,low,low,low,low,low,low,low,MZ,Urban,North Eastern Zone
107,Saiha,235.21,232.52,25.1,high,medium,low,high,high,low,high,high,low,low,medium,medium,medium,low,medium,medium,high,high,low,low,medium,low,low,low,low,low,low,MZ,Rural,North Eastern Zone
108,Saiha,477.03,522.66,58.66,high,medium,medium,high,high,medium,high,high,medium,low,medium,medium,medium,medium,low,medium,high,high,low,low,medium,low,low,low,low,low,low,MZ,Total,North Eastern Zone
110,Darjiling,397.0,503.0,62.0,medium,medium,medium,medium,medium,medium,medium,high,low,low,high,high,medium,high,low,high,medium,medium,low,low,low,low,medium,medium,low,low,low,WB,Rural,Eastern Zone
111,Darjiling,777.0,928.0,125.0,high,medium,medium,medium,medium,medium,high,high,medium,low,high,medium,medium,high,low,high,medium,low,low,low,low,low,medium,medium,low,low,low,WB,Total,Eastern Zone
112,Jalpaiguri,602.0,691.0,91.0,medium,medium,medium,high,medium,low,medium,medium,low,medium,medium,high,low,high,low,high,high,medium,medium,low,medium,medium,high,high,low,low,low,WB,Rural,Eastern Zone
113,Jalpaiguri,808.0,899.0,124.0,medium,medium,low,high,medium,low,medium,medium,low,medium,medium,high,low,high,low,high,high,medium,medium,low,medium,medium,high,high,low,low,low,WB,Total,Eastern Zone
114,Koch Bihar,724.0,804.0,109.0,medium,medium,medium,high,medium,low,medium,medium,low,medium,high,high,low,high,low,high,high,medium,medium,medium,medium,medium,medium,high,low,low,low,WB,Rural,Eastern Zone
115,Koch Bihar,808.0,886.0,126.0,medium,medium,medium,high,medium,low,medium,medium,low,medium,high,high,low,high,low,high,high,medium,medium,medium,medium,medium,medium,high,low,low,low,WB,Total,Eastern Zone
116,Uttar Dinajpur,716.0,871.0,109.0,medium,medium,low,high,low,low,low,low,low,medium,medium,medium,low,medium,low,high,medium,medium,medium,medium,medium,medium,medium,high,low,low,low,WB,Rural,Eastern Zone
117,Uttar Dinajpur,825.0,1012.0,132.0,medium,medium,medium,high,low,low,medium,medium,low,medium,medium,medium,low,medium,low,medium,medium,medium,medium,low,medium,medium,medium,high,low,low,low,WB,Total,Eastern Zone
118,Dakshin Dinajpur,697.0,758.0,110.0,medium,medium,medium,high,medium,low,medium,medium,low,medium,medium,high,medium,high,low,high,high,medium,medium,low,medium,medium,high,high,low,low,low,WB,Rural,Eastern Zone
119,Dakshin Dinajpur,801.0,867.0,132.0,medium,medium,low,high,medium,low,medium,high,low,medium,medium,high,medium,high,low,high,high,medium,medium,medium,medium,medium,high,high,low,low,low,WB,Total,Eastern Zone
120,Maldah,707.0,790.0,109.0,medium,medium,low,high,medium,low,medium,medium,low,high,medium,medium,low,medium,low,high,medium,medium,low,low,medium,medium,medium,high,low,low,low,WB,Rural,Eastern Zone
121,Maldah,815.0,911.0,129.0,medium,medium,low,high,medium,low,medium,medium,low,high,medium,medium,low,medium,low,high,medium,medium,low,low,medium,medium,medium,high,low,low,low,WB,Total,Eastern Zone
122,Murshidabad,676.0,804.0,120.0,medium,medium,medium,high,medium,low,medium,high,low,high,high,high,low,medium,low,high,medium,medium,low,low,medium,medium,medium,medium,low,low,low,WB,Rural,Eastern Zone
123,Murshidabad,830.0,1006.0,145.0,medium,medium,medium,high,medium,low,medium,high,low,high,high,high,low,medium,low,high,medium,medium,medium,low,medium,medium,medium,medium,low,low,low,WB,Total,Eastern Zone
124,Birbhum,725.0,813.0,125.0,medium,medium,low,high,low,low,medium,high,low,high,high,high,low,high,low,high,high,medium,high,high,medium,medium,medium,high,low,low,low,WB,Rural,Eastern Zone
125,Birbhum,834.0,950.0,149.0,medium,medium,low,high,low,low,medium,high,low,high,high,high,low,high,low,high,high,medium,high,medium,medium,medium,medium,high,low,low,low,WB,Total,Eastern Zone
126,Barddhaman,411.0,503.0,67.0,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,high,medium,high,low,high,medium,medium,high,medium,low,medium,medium,high,low,low,low,WB,Urban,Eastern Zone
127,Barddhaman,416.0,483.0,67.0,medium,medium,medium,high,medium,low,medium,medium,low,high,high,high,medium,high,low,high,medium,medium,low,low,medium,medium,medium,high,low,low,low,WB,Rural,Eastern Zone
128,Barddhaman,827.0,986.0,134.0,medium,medium,medium,high,medium,low,medium,medium,low,medium,high,high,medium,high,low,high,medium,medium,medium,medium,medium,medium,medium,high,low,low,low,WB,Total,Eastern Zone
129,Nadia,594.0,649.0,102.0,medium,medium,low,high,medium,low,medium,medium,low,medium,high,high,medium,high,low,high,high,medium,high,high,low,low,medium,medium,low,low,low,WB,Rural,Eastern Zone
130,Nadia,836.0,928.0,143.0,medium,medium,low,high,high,low,medium,medium,low,medium,medium,high,medium,high,low,high,high,medium,high,high,low,low,medium,medium,low,low,low,WB,Total,Eastern Zone
133,North Twenty Four Parganas,800.0,872.0,107.0,high,medium,low,high,high,medium,high,medium,medium,medium,medium,high,low,high,low,high,medium,low,low,low,low,low,medium,high,low,low,low,WB,Total,Eastern Zone
135,Hugli,410.0,492.0,58.0,medium,medium,medium,high,medium,low,medium,high,low,medium,high,high,medium,high,low,high,high,medium,medium,medium,medium,low,medium,high,low,low,low,WB,Rural,Eastern Zone
136,Hugli,792.0,871.0,99.0,high,medium,low,high,medium,low,high,high,low,medium,high,high,medium,high,low,high,high,low,medium,medium,medium,low,medium,high,low,low,low,WB,Total,Eastern Zone
137,Bankura,756.0,862.0,130.0,medium,medium,medium,high,low,low,medium,high,low,medium,high,high,medium,high,low,high,high,medium,medium,medium,medium,medium,medium,high,low,low,low,WB,Rural,Eastern Zone
138,Bankura,820.0,939.0,143.0,medium,medium,medium,high,low,low,medium,high,low,medium,high,high,medium,high,low,high,high,medium,medium,medium,medium,medium,medium,high,low,low,low,WB,Total,Eastern Zone
139,Puruliya,708.0,877.0,109.0,low,medium,medium,high,low,low,medium,medium,low,medium,medium,high,medium,high,low,high,high,medium,medium,medium,medium,high,high,high,low,low,low,WB,Rural,Eastern Zone
