,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
518,Godda,995.07,949.79,114.96,low,medium,low,high,low,low,low,medium,low,high,medium,low,low,medium,low,medium,medium,medium,low,low,high,high,high,high,low,low,low,JH,Rural,Eastern Zone
519,Godda,1050.83,1013.63,122.67,low,medium,medium,high,low,low,low,medium,low,high,medium,low,low,medium,low,medium,medium,medium,low,low,high,high,high,high,low,low,low,JH,Total,Eastern Zone
521,Sahibganj,771.94,817.63,106.11,low,medium,low,high,low,low,low,low,low,medium,medium,low,low,medium,low,medium,medium,low,low,low,high,medium,high,high,low,low,low,JH,Rural,Eastern Zone
522,Sahibganj,906.67,944.86,123.96,low,medium,low,high,low,low,low,low,low,medium,medium,low,low,medium,low,medium,medium,low,low,low,high,medium,high,high,low,low,low,JH,Total,Eastern Zone
524,Pakur,678.09,775.83,105.79,low,medium,low,high,low,low,low,medium,low,medium,medium,low,low,medium,low,high,medium,medium,low,low,high,high,high,high,low,low,low,JH,Rural,Eastern Zone
525,Pakur,741.35,844.83,127.18,low,medium,medium,high,low,low,low,medium,low,medium,medium,low,low,medium,low,high,medium,medium,low,low,high,high,high,high,low,low,low,JH,Total,Eastern Zone
526,Dhanbad,1216.41,1465.93,209.15,medium,low,low,high,medium,low,medium,high,medium,medium,medium,medium,low,high,low,high,medium,low,low,low,medium,medium,high,high,low,low,low,JH,Urban,Eastern Zone
527,Dhanbad,826.19,966.17,135.02,medium,low,medium,medium,low,low,medium,high,low,medium,medium,low,low,medium,medium,high,medium,low,low,low,medium,high,high,high,low,low,low,JH,Rural,Eastern Zone
528,Dhanbad,2042.6,2432.1,344.17,medium,low,medium,high,low,low,medium,high,medium,medium,medium,medium,low,medium,low,high,medium,low,low,low,medium,medium,high,high,low,low,low,JH,Total,Eastern Zone
529,Bokaro,836.73,987.99,127.01,medium,medium,medium,high,medium,medium,medium,high,medium,low,medium,medium,medium,high,low,medium,medium,low,low,low,medium,medium,high,high,low,low,low,JH,Urban,Eastern Zone
530,Bokaro,806.22,927.64,129.62,medium,medium,low,medium,low,low,medium,high,low,medium,medium,low,low,medium,low,high,medium,low,low,low,medium,high,high,high,low,low,low,JH,Rural,Eastern Zone
531,Bokaro,1642.94,1915.63,256.63,medium,medium,medium,high,medium,low,medium,high,medium,medium,medium,medium,low,medium,low,medium,medium,low,low,low,medium,medium,high,high,low,low,low,JH,Total,Eastern Zone
533,Lohardaga,313.88,341.88,39.0,medium,medium,medium,medium,low,low,medium,medium,low,medium,low,low,low,high,low,medium,medium,medium,low,low,medium,high,medium,high,low,low,low,JH,Rural,Eastern Zone
534,Lohardaga,356.89,388.7,44.27,medium,medium,medium,medium,low,low,medium,medium,medium,medium,low,low,low,high,low,medium,medium,medium,low,low,medium,medium,medium,high,low,low,low,JH,Total,Eastern Zone
535,Purbi Singhbhum,1138.29,1352.1,161.22,high,medium,medium,high,high,high,high,high,high,low,medium,medium,low,high,low,medium,low,low,medium,medium,low,low,medium,high,low,low,low,JH,Urban,Eastern Zone
536,Purbi Singhbhum,908.84,959.02,133.09,medium,medium,low,high,low,low,medium,medium,low,medium,low,medium,low,high,low,high,medium,low,low,low,high,medium,high,high,low,low,low,JH,Rural,Eastern Zone
537,Purbi Singhbhum,2047.12,2311.12,294.31,medium,medium,low,high,medium,medium,medium,high,medium,medium,medium,medium,low,high,low,high,medium,low,medium,low,medium,medium,high,high,low,low,low,JH,Total,Eastern Zone
539,Palamu,1214.9,1257.27,177.82,low,medium,medium,high,low,low,medium,medium,low,medium,low,low,low,medium,low,medium,medium,low,low,low,medium,medium,medium,medium,low,low,low,JH,Rural,Eastern Zone
540,Palamu,1389.3,1491.95,222.66,medium,medium,medium,high,low,low,medium,medium,low,medium,low,low,low,medium,low,medium,medium,low,low,low,medium,medium,medium,medium,low,low,low,JH,Total,Eastern Zone
542,Latehar,507.48,527.79,58.26,medium,medium,low,medium,low,low,medium,medium,low,medium,low,low,low,medium,low,medium,medium,low,low,low,medium,medium,medium,medium,low,low,low,JH,Rural,Eastern Zone
543,Latehar,543.77,569.15,68.73,medium,medium,low,medium,low,low,medium,medium,low,medium,low,low,low,medium,low,medium,medium,low,low,low,medium,medium,medium,medium,low,low,low,JH,Total,Eastern Zone
545,Hazaribagh,1047.55,1317.89,169.74,medium,medium,low,medium,low,low,medium,high,low,high,high,medium,low,high,low,high,high,medium,low,low,high,medium,high,high,low,low,low,JH,Rural,Eastern Zone
546,Hazaribagh,1283.03,1631.99,228.1,medium,medium,low,medium,low,low,medium,high,medium,medium,high,medium,low,high,low,high,high,medium,low,low,high,medium,medium,high,low,low,low,JH,Total,Eastern Zone
547,Ramgarh,303.89,369.58,50.52,medium,medium,medium,medium,medium,low,high,medium,medium,low,medium,medium,low,high,low,medium,medium,low,low,low,medium,medium,high,high,low,low,low,JH,Urban,Eastern Zone
548,Ramgarh,389.81,462.92,62.22,medium,medium,medium,medium,low,low,medium,high,medium,medium,medium,low,low,medium,medium,medium,medium,medium,low,low,medium,medium,high,high,low,low,low,JH,Rural,Eastern Zone
549,Ramgarh,693.7,832.5,112.73,medium,medium,medium,medium,medium,low,high,medium,medium,medium,medium,medium,low,high,low,medium,medium,low,low,low,medium,medium,high,high,low,low,low,JH,Total,Eastern Zone
551,Dumka,1063.52,1064.04,144.22,medium,medium,medium,high,low,low,medium,medium,low,high,medium,low,low,medium,low,high,medium,low,medium,medium,medium,high,high,high,low,low,low,JH,Rural,Eastern Zone
552,Dumka,1146.48,1159.48,160.97,medium,medium,medium,high,low,low,medium,medium,low,high,medium,low,low,medium,low,high,medium,low,medium,medium,medium,high,high,high,low,low,low,JH,Total,Eastern Zone
554,Jamtara,604.39,675.92,101.27,low,medium,low,high,low,low,low,medium,low,medium,medium,low,low,medium,medium,medium,medium,low,low,low,medium,high,high,high,low,low,low,JH,Rural,Eastern Zone
555,Jamtara,666.07,761.28,114.68,medium,medium,low,high,low,low,low,medium,low,medium,medium,low,low,medium,low,medium,medium,low,low,low,medium,high,high,high,low,low,low,JH,Total,Eastern Zone
556,Ranchi,965.84,1188.7,156.59,high,low,low,high,medium,high,high,high,high,low,medium,medium,medium,high,low,high,medium,low,low,low,low,low,medium,medium,low,low,low,JH,Urban,Eastern Zone
557,Ranchi,1317.02,1399.44,188.87,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium,low,low,high,low,medium,medium,medium,low,low,high,high,high,high,low,low,low,JH,Rural,Eastern Zone
558,Ranchi,2282.87,2588.14,345.46,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,high,low,medium,medium,medium,low,low,medium,medium,medium,high,low,low,low,JH,Total,Eastern Zone
560,Khunti,374.32,402.45,55.23,medium,medium,medium,low,low,low,medium,medium,low,medium,medium,medium,low,medium,low,high,medium,low,low,low,medium,medium,high,high,low,low,low,JH,Rural,Eastern Zone
561,Khunti,408.49,445.09,59.88,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium,medium,low,medium,low,high,medium,low,low,low,medium,medium,medium,high,low,low,low,JH,Total,Eastern Zone
563,Gumla,660.84,724.41,83.17,medium,medium,medium,low,low,low,medium,medium,low,medium,low,low,low,medium,low,medium,high,low,low,low,medium,medium,high,high,low,low,low,JH,Rural,Eastern Zone
564,Gumla,709.75,790.25,87.55,medium,medium,medium,low,low,low,medium,high,low,medium,low,low,low,high,low,medium,high,low,low,low,medium,medium,high,high,low,low,low,JH,Total,Eastern Zone
566,Simdega,408.13,400.06,51.58,medium,medium,medium,medium,low,low,medium,medium,low,low,low,low,low,medium,low,medium,medium,low,medium,medium,medium,medium,high,high,low,low,low,JH,Rural,Eastern Zone
567,Simdega,450.84,455.74,60.55,medium,medium,medium,medium,low,low,medium,medium,low,low,low,low,low,medium,low,medium,medium,low,medium,medium,medium,medium,high,high,low,low,low,JH,Total,Eastern Zone
569,Pashchimi Singhbhum,971.97,1005.72,107.57,low,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,high,medium,high,high,low,low,low,JH,Rural,Eastern Zone
570,Pashchimi Singhbhum,1148.03,1234.67,150.17,low,medium,medium,medium,low,low,medium,medium,low,low,low,low,low,low,low,medium,low,low,low,low,high,medium,high,high,low,low,low,JH,Total,Eastern Zone
572,Saraikela Kharsawan,659.2,720.62,110.47,medium,medium,low,medium,low,low,medium,medium,low,medium,low,low,low,medium,low,high,medium,medium,low,low,medium,high,high,high,low,low,low,JH,Rural,Eastern Zone
573,Saraikela Kharsawan,992.08,1083.72,158.61,medium,low,low,high,low,low,medium,medium,medium,medium,low,low,low,medium,low,medium,medium,medium,low,low,medium,medium,high,high,low,low,low,JH,Total,Eastern Zone
