,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1340,Uttar Bastar Kanker,490.0,627.0,82.9,0.6637000000000001,1.053,0.784,0.3482,0.059800000000000006,0.6128,0.8589,0.23809999999999998,0.1559,0.5329999999999999,0.7025,0.3765,0.7502,0.061399999999999996,0.8267,0.7025,0.44670000000000004,0.048799999999999996,0.046,0.36920000000000003,0.37939999999999996,0.6053000000000001,0.6766,0.0758,0.0305,0.0909,CT,Rural,Central Zone
1342,Bastar,945.0,1194.0,156.1,0.5102,1.084,1.097,0.1192,0.034,0.4204,0.687,0.1242,0.2115,0.41950000000000004,0.5447,0.2501,0.6213000000000001,0.0924,0.7373000000000001,0.6436,0.5447,0.0819,0.0786,0.4232,0.4064,0.6017,0.6809999999999999,0.11109999999999999,0.0233,0.0236,CT,Rural,Central Zone
1344,Narayanpur,81.4,125.0,17.1,0.5488000000000001,1.081,0.875,0.0803,0.038900000000000004,0.4371,0.7304999999999999,0.1247,0.17679999999999998,0.35840000000000005,0.3873,0.23420000000000002,0.5746,0.10800000000000001,0.6143,0.6884999999999999,0.5763,0.044800000000000006,0.0394,0.5073,0.24050000000000002,0.4727,0.6023,0.1355,0.0489,0.0638,CT,Rural,Central Zone
1346,Dakshin Bastar Dantewada,349.0,453.0,54.8,0.3812,1.045,1.072,0.1341,0.0449,0.3043,0.4654,0.09140000000000001,0.1999,0.2872,0.5715,0.265,0.5368999999999999,0.0717,0.6206,0.6396000000000001,0.38409999999999994,0.057,0.0559,0.45380000000000004,0.42969999999999997,0.7182,0.768,0.0814,0.025,0.018500000000000003,CT,Rural,Central Zone
1348,Bijapur,170.0,238.0,27.44,0.6601,1.0050000000000001,0.93,0.15410000000000001,0.0226,0.6182,0.8548,0.171,0.1625,0.5009,0.46619999999999995,0.218,0.7463,0.0742,0.8045,0.7811,0.4781,0.0546,0.051699999999999996,0.5011,0.1949,0.4986,0.6825,0.12279999999999999,0.0453,0.0429,CT,Rural,Central Zone
1350,Uttarkashi,795.0,912.0,118.0,0.6409999999999999,1.046,0.8210000000000001,0.451,0.21600000000000003,0.693,0.929,0.37,0.12,0.649,0.203,0.27699999999999997,0.644,0.017,0.7120000000000001,0.284,0.314,0.064,0.055,0.36200000000000004,0.171,0.763,0.526,0.078,0.059000000000000004,0.087,UT,Rural,Central Zone
1352,Chamoli,742.0,729.0,70.0,0.71,1.177,0.97,0.5920000000000001,0.225,0.841,0.972,0.45299999999999996,0.10400000000000001,0.6,0.17800000000000002,0.172,0.501,0.068,0.5870000000000001,0.395,0.439,0.08900000000000001,0.109,0.375,0.165,0.54,0.36700000000000005,0.198,0.066,0.098,UT,Rural,Central Zone
1354,Rudraprayag,845.0,865.0,79.0,0.695,1.192,0.9109999999999999,0.662,0.27399999999999997,0.826,0.977,0.501,0.09699999999999999,0.5820000000000001,0.115,0.21899999999999997,0.636,0.011000000000000001,0.7140000000000001,0.467,0.535,0.11199999999999999,0.10400000000000001,0.29,0.154,0.603,0.395,0.22,0.049,0.10099999999999999,UT,Rural,Central Zone
1356,Tehri Garhwal,791.0,871.0,81.0,0.61,1.178,0.913,0.604,0.201,0.73,0.899,0.483,0.11599999999999999,0.606,0.17300000000000001,0.20600000000000002,0.669,0.015,0.503,0.271,0.379,0.077,0.066,0.322,0.205,0.605,0.447,0.106,0.045,0.034,UT,Rural,Central Zone
1358,Dehradun,913.0,981.0,114.0,0.831,0.9179999999999999,0.8039999999999999,0.765,0.945,0.8740000000000001,0.98,0.648,0.083,0.53,0.436,0.261,0.8540000000000001,0.013999999999999999,0.486,0.331,0.298,0.105,0.096,0.249,0.179,0.503,0.40700000000000003,0.18600000000000003,0.078,0.15,UT,Urban,Central Zone
