,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1,Chamba,578.31,683.98,128.53,0.6751,1.1397,0.95138,0.7505,0.1999,0.7371,0.9308,0.4703,0.09029999999999999,0.44170000000000004,0.4534,0.366,0.556,0.0381,0.6394,0.5194,0.3223,0.0611,0.0553,0.2937,0.1986,0.6701,0.5063,0.1884,0.0479,0.1918,HP,Rural,Northern Zone
4,Kangra,1946.63,2077.83,365.15,0.8337,1.11095,0.76723,0.6675,0.3143,0.9427,0.9743999999999999,0.657,0.0248,0.40909999999999996,0.8155,0.5757,0.8761,0.0453,0.6861,0.6609,0.4495,0.0849,0.1074,0.2585,0.1925,0.48229999999999995,0.6142,0.2613,0.1167,0.2322,HP,Rural,Northern Zone
7,Lahul &Spiti,35.11,29.59,8.12,0.6568999999999999,0.99365,0.7866000000000001,0.525,0.5987,0.8090999999999999,0.9098,0.5186,0.1378,0.5874,0.6149,0.46009999999999995,0.7332,0.032799999999999996,0.5889,0.516,0.4274,0.1155,0.098,0.2303,0.0964,0.9470999999999999,0.8323,0.24600000000000002,0.0931,0.3195,HP,Rural,Northern Zone
10,Kullu,500.65,572.35,144.57,0.7315,1.0218099999999999,0.99046,0.6586,0.331,0.8212,0.975,0.4481,0.18899999999999997,0.5869,0.7111,0.5603,0.7006,0.0403,0.6779999999999999,0.6215999999999999,0.5163,0.0070999999999999995,0.0095,0.1955,0.1328,0.563,0.623,0.2335,0.0484,0.3233,HP,Rural,Northern Zone
13,Mandi,1299.23,1358.65,260.81,0.7421,1.17531,0.8891199999999999,0.7169,0.1985,0.8623000000000001,0.965,0.6249,0.1457,0.6333,0.5281,0.33899999999999997,0.6228,0.030699999999999998,0.8087000000000001,0.7091,0.3674,0.154,0.1386,0.2754,0.1523,0.3514,0.3703,0.22829999999999998,0.0906,0.20850000000000002,HP,Rural,Northern Zone
16,Hamirpur,625.44,645.61,97.48,0.8443999999999999,1.24999,0.9826900000000001,0.8120999999999999,0.2165,0.977,0.9918,0.6631,0.032,0.44630000000000003,0.7338,0.5485,0.9053,0.0387,0.4765,0.7987000000000001,0.4086,0.1606,0.17170000000000002,0.2878,0.1349,0.4069,0.35960000000000003,0.2076,0.1349,0.3346,HP,Rural,Northern Zone
19,Una,679.03,774.47,148.34,0.8612000000000001,1.1186099999999999,0.8714299999999999,0.6856,0.2805,0.9185,0.9464,0.5759000000000001,0.0431,0.33490000000000003,0.7129000000000001,0.5169,0.8003,0.0717,0.6108,0.7356999999999999,0.2249,0.1232,0.1288,0.2368,0.1516,0.5558,0.4753,0.16149999999999998,0.08960000000000001,0.24609999999999999,HP,Rural,Northern Zone
22,Bilaspur,480.94,513.73,92.11,0.7811,1.0983100000000001,0.9172399999999999,0.6977,0.1424,0.9216,0.9781,0.601,0.1422,0.5075,0.5902000000000001,0.5547,0.8243,0.0242,0.5975,0.7612000000000001,0.41969999999999996,0.0872,0.09960000000000001,0.2823,0.1586,0.2898,0.3942,0.1383,0.073,0.1822,HP,Rural,Northern Zone
25,Solan,618.84,743.19,191.08,0.7909999999999999,0.9956200000000001,1.09173,0.6524,0.3552,0.8576999999999999,0.9708,0.5107,0.0981,0.715,0.7256,0.5096,0.722,0.0513,0.7873,0.5852,0.4064,0.1217,0.09539999999999998,0.3132,0.1686,0.7,0.6674,0.2588,0.09519999999999999,0.3071,HP,Rural,Northern Zone
28,Sirmaur,502.78,594.05,151.35,0.7181000000000001,1.00799,0.81168,0.6663,0.2983,0.8083,0.9460999999999999,0.45520000000000005,0.092,0.5664,0.5914,0.4753,0.7595999999999999,0.0038,0.7012,0.5736,0.49079999999999996,0.0525,0.0509,0.247,0.2182,0.6389,0.4539,0.20309999999999997,0.08380000000000001,0.2167,HP,Rural,Northern Zone
31,Shimla,801.18,879.6,206.99,0.7302,1.01429,1.22893,0.6976,0.5528,0.8262999999999999,0.9588,0.5679,0.0916,0.6596,0.7463,0.5022,0.7454999999999999,0.0124,0.8642,0.5728,0.45909999999999995,0.1295,0.1184,0.2737,0.1361,0.7432,0.7170000000000001,0.3249,0.1063,0.3923,HP,Rural,Northern Zone
34,Kinnaur,113.92,100.1,24.66,0.7117,1.04838,0.80687,0.6709,0.6667000000000001,0.877,0.9734999999999999,0.5760000000000001,0.22510000000000002,0.5788,0.6733,0.49810000000000004,0.7988,0.027999999999999997,0.8195,0.6104999999999999,0.6212,0.11689999999999999,0.1067,0.1841,0.1321,0.8308,0.8079000000000001,0.3446,0.11349999999999999,0.361,HP,Rural,Northern Zone
36,West Garo Hills,829.0,1034.0,129.0,0.7559999999999999,0.9789999999999999,0.983,0.434,0.106,0.759,0.759,0.34299999999999997,0.177,0.317,0.353,0.099,0.415,0.018000000000000002,0.42700000000000005,0.47200000000000003,0.6990000000000001,0.16,0.174,0.305,0.13,0.522,0.728,0.036000000000000004,0.019,0.03,ML,Rural,North Eastern Zone
38,East Garo Hills,792.0,1058.0,114.0,0.765,1.058,1.1099999999999999,0.486,0.025,0.667,0.735,0.228,0.201,0.11599999999999999,0.29600000000000004,0.175,0.413,0.063,0.349,0.524,0.486,0.183,0.18,0.303,0.10800000000000001,0.7440000000000001,0.6579999999999999,0.012,0.006999999999999999,0.073,ML,Rural,North Eastern Zone
40,South Garo Hills,850.0,1214.0,148.0,0.857,1.0210000000000001,1.1199999999999999,0.846,0.07200000000000001,0.86,0.966,0.49700000000000005,0.105,0.198,0.504,0.503,0.888,0.002,0.826,0.762,0.36200000000000004,0.353,0.363,0.17,0.037000000000000005,0.772,0.461,0.055999999999999994,0.124,0.149,ML,Rural,North Eastern Zone
42,West Khasi Hills,818.0,936.0,111.0,0.853,0.951,0.967,0.792,0.054000000000000006,0.875,0.9059999999999999,0.17800000000000002,0.213,0.191,0.40399999999999997,0.309,0.335,0.022000000000000002,0.711,0.413,0.67,0.27399999999999997,0.247,0.494,0.094,0.366,0.49,0.223,0.07200000000000001,0.07400000000000001,ML,Rural,North Eastern Zone
44,Ribhoi,795.0,981.0,129.0,0.7829999999999999,1.0,1.097,0.547,0.091,0.745,0.8029999999999999,0.133,0.23600000000000002,0.223,0.397,0.33799999999999997,0.434,0.023,0.561,0.619,0.765,0.327,0.28,0.52,0.16899999999999998,0.449,0.677,0.166,0.111,0.21600000000000003,ML,Rural,North Eastern Zone
46,East Khasi Hills,912.0,1149.0,132.0,0.937,1.077,0.761,0.6509999999999999,0.7490000000000001,0.937,0.9640000000000001,0.623,0.044000000000000004,0.29,0.7959999999999999,0.575,0.951,0.015,0.77,0.6809999999999999,0.555,0.215,0.254,0.314,0.115,0.38,0.42200000000000004,0.249,0.172,0.32299999999999995,ML,Urban,North Eastern Zone
47,East Khasi Hills,876.0,1024.0,133.0,0.87,0.9869999999999999,0.994,0.662,0.11199999999999999,0.9129999999999999,0.856,0.237,0.14300000000000002,0.129,0.696,0.5589999999999999,0.556,0.03,0.6609999999999999,0.598,0.507,0.306,0.293,0.5529999999999999,0.142,0.501,0.519,0.426,0.33,0.295,ML,Rural,North Eastern Zone
49,Jaintia Hills,841.0,1009.0,122.0,0.769,0.9810000000000001,1.061,0.546,0.153,0.777,0.758,0.19699999999999998,0.272,0.185,0.51,0.409,0.428,0.016,0.6859999999999999,0.501,0.684,0.183,0.177,0.523,0.132,0.337,0.47700000000000004,0.4,0.154,0.121,ML,Rural,North Eastern Zone
51,Kokrajhar,824.0,910.0,112.0,0.68,1.009,0.852,0.375,0.14400000000000002,0.637,0.76,0.196,0.413,0.368,0.37200000000000005,0.258,0.654,0.061,0.405,0.316,0.741,0.11599999999999999,0.107,0.319,0.223,0.414,0.516,0.063,0.022000000000000002,0.019,AS,Rural,North Eastern Zone
53,Dhubri,806.0,873.0,103.0,0.626,0.9490000000000001,0.8320000000000001,0.293,0.08199999999999999,0.5539999999999999,0.648,0.134,0.498,0.284,0.237,0.114,0.4,0.132,0.166,0.313,0.623,0.086,0.10300000000000001,0.489,0.322,0.433,0.513,0.08199999999999999,0.062,0.068,AS,Rural,North Eastern Zone
55,Goalpara,790.0,913.0,142.0,0.7020000000000001,0.961,0.868,0.419,0.105,0.669,0.684,0.18100000000000002,0.43200000000000005,0.325,0.39399999999999996,0.309,0.691,0.068,0.406,0.56,0.8,0.11900000000000001,0.125,0.457,0.247,0.381,0.509,0.048,0.08199999999999999,0.068,AS,Rural,North Eastern Zone
57,Barpeta,832.0,991.0,116.0,0.695,0.982,0.9470000000000001,0.34,0.17800000000000002,0.66,0.813,0.23199999999999998,0.494,0.415,0.46299999999999997,0.188,0.489,0.131,0.327,0.40299999999999997,0.684,0.1,0.09699999999999999,0.415,0.266,0.302,0.35200000000000004,0.011000000000000001,0.08,0.062,AS,Rural,North Eastern Zone
59,Morigaon,836.0,985.0,121.0,0.748,1.02,1.073,0.381,0.136,0.718,0.78,0.209,0.491,0.363,0.408,0.365,0.711,0.013999999999999999,0.39899999999999997,0.382,0.662,0.068,0.076,0.38799999999999996,0.29600000000000004,0.39299999999999996,0.41600000000000004,0.064,0.042,0.054000000000000006,AS,Rural,North Eastern Zone
61,Nagaon,779.0,859.0,121.0,0.7759999999999999,1.003,1.0230000000000001,0.43700000000000006,0.126,0.715,0.787,0.157,0.45,0.41100000000000003,0.431,0.293,0.654,0.013000000000000001,0.426,0.41,0.731,0.10400000000000001,0.094,0.409,0.292,0.365,0.38,0.017,0.013999999999999999,0.02,AS,Rural,North Eastern Zone
63,Sonitpur,833.0,970.0,119.0,0.722,1.006,0.952,0.601,0.162,0.6579999999999999,0.867,0.207,0.27,0.45299999999999996,0.42200000000000004,0.402,0.88,0.021,0.436,0.583,0.6679999999999999,0.095,0.09,0.28800000000000003,0.22,0.278,0.493,0.019,0.044000000000000004,0.031,AS,Rural,North Eastern Zone
65,Lakhimpur,815.0,967.0,124.0,0.7859999999999999,1.035,1.024,0.489,0.128,0.768,0.852,0.368,0.281,0.38,0.589,0.444,0.8140000000000001,0.033,0.5379999999999999,0.47,0.76,0.113,0.105,0.31,0.21899999999999997,0.309,0.374,0.017,0.02,0.03,AS,Rural,North Eastern Zone
67,Dhemaji,865.0,1028.0,129.0,0.742,1.0150000000000001,0.905,0.415,0.084,0.731,0.867,0.35100000000000003,0.385,0.341,0.473,0.33799999999999997,0.746,0.040999999999999995,0.491,0.445,0.672,0.092,0.098,0.361,0.174,0.39399999999999996,0.396,0.065,0.067,0.081,AS,Rural,North Eastern Zone
69,Tinsukia,738.0,909.0,138.0,0.624,1.003,0.865,0.451,0.122,0.526,0.7240000000000001,0.126,0.262,0.47,0.545,0.36,0.72,0.006999999999999999,0.539,0.632,0.7,0.084,0.081,0.401,0.42,0.491,0.542,0.085,0.10099999999999999,0.08900000000000001,AS,Rural,North Eastern Zone
71,Dibrugarh,733.0,892.0,130.0,0.7290000000000001,1.029,0.9480000000000001,0.5720000000000001,0.147,0.6970000000000001,0.782,0.21899999999999997,0.256,0.373,0.67,0.541,0.875,0.013999999999999999,0.685,0.6759999999999999,0.69,0.11599999999999999,0.11199999999999999,0.348,0.332,0.525,0.556,0.04,0.047,0.027000000000000003,AS,Rural,North Eastern Zone
73,Sivasagar,825.0,964.0,138.0,0.777,1.0150000000000001,1.0710000000000002,0.5539999999999999,0.203,0.759,0.8009999999999999,0.342,0.299,0.316,0.6990000000000001,0.39899999999999997,0.865,0.011000000000000001,0.73,0.561,0.628,0.145,0.145,0.374,0.322,0.358,0.365,0.091,0.087,0.106,AS,Rural,North Eastern Zone
75,Jorhat,740.0,943.0,129.0,0.805,1.0050000000000001,0.764,0.616,0.214,0.8,0.907,0.34299999999999997,0.21600000000000003,0.314,0.723,0.6559999999999999,0.965,0.0,0.615,0.519,0.7,0.040999999999999995,0.040999999999999995,0.265,0.299,0.391,0.428,0.051,0.057,0.052000000000000005,AS,Rural,North Eastern Zone
77,Golaghat,844.0,979.0,127.0,0.7979999999999999,1.0050000000000001,1.097,0.581,0.09300000000000001,0.736,0.823,0.262,0.27899999999999997,0.313,0.617,0.447,0.879,0.016,0.6859999999999999,0.6459999999999999,0.8029999999999999,0.11699999999999999,0.111,0.316,0.27,0.342,0.465,0.040999999999999995,0.021,0.03,AS,Rural,North Eastern Zone
79,Karbi Anglong,783.0,898.0,133.0,0.675,0.991,0.9109999999999999,0.40399999999999997,0.094,0.591,0.7559999999999999,0.133,0.299,0.42100000000000004,0.37200000000000005,0.231,0.47200000000000003,0.065,0.235,0.368,0.794,0.126,0.121,0.284,0.182,0.258,0.37799999999999995,0.016,0.012,0.026000000000000002,AS,Rural,North Eastern Zone
81,Dima Hasao,639.0,657.0,105.0,0.672,0.9410000000000001,0.961,0.541,0.044000000000000004,0.638,0.782,0.17600000000000002,0.26,0.302,0.26,0.3,0.47600000000000003,0.032,0.551,0.406,0.623,0.05,0.048,0.39899999999999997,0.16,0.316,0.40399999999999997,0.031,0.057,0.066,AS,Rural,North Eastern Zone
83,Cachar,743.0,867.0,133.0,0.747,0.99,0.96,0.307,0.168,0.705,0.872,0.209,0.20800000000000002,0.29,0.516,0.179,0.6970000000000001,0.047,0.419,0.562,0.307,0.012,0.011000000000000001,0.37799999999999995,0.355,0.319,0.532,0.08199999999999999,0.026000000000000002,0.08,AS,Rural,North Eastern Zone
85,Karimganj,830.0,1048.0,123.0,0.792,0.977,0.958,0.359,0.162,0.765,0.8909999999999999,0.161,0.305,0.317,0.382,0.177,0.45899999999999996,0.013999999999999999,0.522,0.67,0.29,0.077,0.071,0.44,0.319,0.248,0.43200000000000005,0.126,0.055999999999999994,0.105,AS,Rural,North Eastern Zone
87,Hailakandi,831.0,977.0,136.0,0.746,0.9460000000000001,0.967,0.325,0.079,0.7120000000000001,0.853,0.18100000000000002,0.23800000000000002,0.34,0.34,0.242,0.555,0.005,0.39799999999999996,0.703,0.307,0.061,0.059000000000000004,0.392,0.341,0.294,0.466,0.1,0.062,0.10400000000000001,AS,Rural,North Eastern Zone
89,Bongaigaon,763.0,858.0,115.0,0.7170000000000001,0.95,0.874,0.40700000000000003,0.168,0.7020000000000001,0.8490000000000001,0.2,0.42,0.382,0.245,0.345,0.659,0.038,0.397,0.519,0.6779999999999999,0.145,0.13699999999999998,0.41,0.20199999999999999,0.331,0.49200000000000005,0.075,0.042,0.023,AS,Rural,North Eastern Zone
91,Chirang,824.0,922.0,106.0,0.665,0.975,1.153,0.299,0.155,0.623,0.747,0.196,0.34600000000000003,0.306,0.414,0.34,0.599,0.038,0.401,0.475,0.7609999999999999,0.047,0.044000000000000004,0.39399999999999996,0.21899999999999997,0.368,0.493,0.005,0.062,0.064,AS,Rural,North Eastern Zone
93,Kamrup,819.0,995.0,105.0,0.757,1.006,1.014,0.529,0.348,0.762,0.888,0.32299999999999995,0.28300000000000003,0.292,0.42200000000000004,0.222,0.825,0.047,0.371,0.562,0.596,0.069,0.09699999999999999,0.342,0.185,0.33899999999999997,0.52,0.055999999999999994,0.077,0.09,AS,Rural,North Eastern Zone
95,Kamrup Metropolitan,701.0,694.0,67.0,0.895,0.9810000000000001,0.825,0.625,0.8740000000000001,0.863,0.946,0.527,0.215,0.36700000000000005,0.6,0.47700000000000004,0.9420000000000001,0.0,0.7709999999999999,0.584,0.601,0.122,0.132,0.233,0.162,0.32899999999999996,0.5479999999999999,0.085,0.122,0.095,AS,Urban,North Eastern Zone
97,Nalbari,804.0,976.0,138.0,0.7809999999999999,0.967,0.9,0.521,0.336,0.785,0.8370000000000001,0.324,0.276,0.44799999999999995,0.479,0.342,0.815,0.023,0.452,0.48100000000000004,0.7290000000000001,0.027000000000000003,0.026000000000000002,0.27699999999999997,0.207,0.461,0.444,0.040999999999999995,0.027000000000000003,0.04,AS,Rural,North Eastern Zone
99,Baksa,872.0,1025.0,119.0,0.718,1.048,0.9789999999999999,0.5429999999999999,0.159,0.7240000000000001,0.835,0.278,0.293,0.389,0.49700000000000005,0.39899999999999997,0.8759999999999999,0.016,0.593,0.547,0.74,0.13,0.127,0.32799999999999996,0.175,0.389,0.53,0.057,0.071,0.027000000000000003,AS,Rural,North Eastern Zone
101,Darrang,860.0,1010.0,133.0,0.691,0.969,0.983,0.446,0.128,0.6609999999999999,0.7,0.21100000000000002,0.40299999999999997,0.451,0.382,0.256,0.643,0.033,0.408,0.478,0.74,0.011000000000000001,0.011000000000000001,0.43700000000000006,0.275,0.45799999999999996,0.45799999999999996,0.018000000000000002,0.09,0.115,AS,Rural,North Eastern Zone
103,Udalguri,881.0,1033.0,144.0,0.679,0.9789999999999999,0.89,0.536,0.10400000000000001,0.655,0.825,0.203,0.313,0.465,0.36,0.294,0.706,0.034,0.5589999999999999,0.624,0.8220000000000001,0.033,0.032,0.39,0.20600000000000002,0.406,0.563,0.028999999999999998,0.012,0.017,AS,Rural,North Eastern Zone
106,Garhwa,973.48,1103.13,122.9,0.5498,1.0192299999999999,0.9663,0.0946,0.0444,0.4961,0.7879,0.1844,0.6071,0.3264,0.1085,0.028900000000000002,0.5696,0.0902,0.5402,0.5059,0.3265,0.0779,0.0706,0.4617,0.3224,0.6486,0.6043,0.1069,0.0482,0.0711,JH,Rural,Eastern Zone
109,Chatra,752.74,878.08,89.79,0.5594,1.06413,0.96151,0.1057,0.0783,0.49920000000000003,0.6667000000000001,0.1975,0.5078,0.3521,0.1096,0.0658,0.5455,0.0756,0.4105,0.5626,0.27140000000000003,0.1027,0.1027,0.5085000000000001,0.3791,0.6153,0.5670000000000001,0.1549,0.0373,0.0501,JH,Rural,Eastern Zone
112,Kodarma,394.91,486.56,46.87,0.5824,1.12039,0.8762599999999999,0.1805,0.1977,0.5262,0.8695,0.2254,0.6123,0.48229999999999995,0.5478000000000001,0.0779,0.7533,0.0711,0.6826000000000001,0.5015999999999999,0.2116,0.056799999999999996,0.0821,0.436,0.35960000000000003,0.7524,0.6385000000000001,0.2075,0.0255,0.005600000000000001,JH,Rural,Eastern Zone
115,Giridih,1528.24,1850.47,189.91,0.552,1.09077,0.7521,0.1191,0.091,0.46549999999999997,0.7445,0.1533,0.5656,0.4351,0.3525,0.0951,0.6124,0.10550000000000001,0.4498,0.6354,0.3908,0.016200000000000003,0.0152,0.4524,0.3643,0.7542,0.6992,0.2113,0.0824,0.0403,JH,Rural,Eastern Zone
118,Deoghar,932.75,1046.98,146.6,0.5466,0.97462,0.8080299999999999,0.0943,0.0818,0.46009999999999995,0.7901,0.16699999999999998,0.6125,0.40869999999999995,0.2227,0.19899999999999998,0.5355,0.0518,0.623,0.4201,0.3514,0.0713,0.073,0.45649999999999996,0.4228,0.6451,0.5742,0.0587,0.036000000000000004,0.0381,JH,Rural,Eastern Zone
121,Godda,995.07,949.79,114.96,0.5065,1.0270199999999998,0.91263,0.146,0.041100000000000005,0.4061,0.7356999999999999,0.1673,0.6518,0.4071,0.2822,0.0913,0.5771999999999999,0.08460000000000001,0.6076,0.4729,0.4022,0.0675,0.06509999999999999,0.5511,0.36950000000000005,0.8199,0.718,0.10880000000000001,0.0535,0.0364,JH,Rural,Eastern Zone
124,Sahibganj,771.94,817.63,106.11,0.48479999999999995,0.9915100000000001,0.85488,0.2163,0.06,0.4144,0.5706,0.1252,0.42729999999999996,0.322,0.19949999999999998,0.08130000000000001,0.467,0.073,0.6281,0.48590000000000005,0.2898,0.0574,0.0564,0.4953,0.3214,0.7106999999999999,0.6214999999999999,0.1052,0.0424,0.0235,JH,Rural,Eastern Zone
127,Pakur,678.09,775.83,105.79,0.5014,1.02338,0.90739,0.10800000000000001,0.04019999999999999,0.38159999999999994,0.6868000000000001,0.1167,0.4006,0.3017,0.2962,0.08929999999999999,0.484,0.0668,0.7068000000000001,0.6393,0.41729999999999995,0.057,0.053899999999999997,0.5146999999999999,0.382,0.7376999999999999,0.7139,0.0955,0.0362,0.028300000000000002,JH,Rural,Eastern Zone
129,Dhanbad,1216.41,1465.93,209.15,0.7121999999999999,0.94626,0.8746699999999998,0.3932,0.2973,0.7359,0.8729,0.3843,0.2737,0.4932,0.5025,0.2369,0.7624,0.0694,0.6920000000000001,0.43520000000000003,0.2711,0.0964,0.0814,0.36340000000000006,0.2585,0.6611,0.5889,0.1528,0.0409,0.037200000000000004,JH,Urban,Eastern Zone
130,Dhanbad,826.19,966.17,135.02,0.5912,0.9474400000000001,0.9985900000000001,0.127,0.0694,0.6023,0.845,0.218,0.3408,0.4302,0.2778,0.1635,0.5219,0.16219999999999998,0.7857,0.5323,0.12359999999999999,0.0735,0.0697,0.40990000000000004,0.3851,0.7454000000000001,0.7064,0.1084,0.018799999999999997,0.0165,JH,Rural,Eastern Zone
132,Bokaro,836.73,987.99,127.01,0.7215,0.98823,0.9411799999999999,0.59,0.4874,0.7288,0.8665,0.46380000000000005,0.2285,0.5108,0.5359,0.3385,0.7495,0.09519999999999999,0.6069,0.49340000000000006,0.2707,0.0965,0.0891,0.3285,0.24359999999999998,0.685,0.6709999999999999,0.10300000000000001,0.0217,0.0449,JH,Urban,Eastern Zone
133,Bokaro,806.22,927.64,129.62,0.5524,0.9613999999999999,0.91358,0.1162,0.0406,0.5317000000000001,0.8742,0.2483,0.4057,0.5109,0.2475,0.1447,0.5176,0.1143,0.71,0.4758,0.1916,0.0676,0.0643,0.4586,0.3743,0.7909,0.7806000000000001,0.08380000000000001,0.04019999999999999,0.0579,JH,Rural,Eastern Zone
136,Lohardaga,313.88,341.88,39.0,0.5700999999999999,1.04217,1.096,0.12380000000000001,0.0639,0.5553,0.7836,0.2685,0.3,0.21989999999999998,0.13970000000000002,0.20620000000000002,0.7027,0.0317,0.579,0.608,0.5496,0.09570000000000001,0.0873,0.4382,0.3721,0.6413,0.6792,0.0217,0.024700000000000003,0.0332,JH,Rural,Eastern Zone
138,Purbi Singhbhum,1138.29,1352.1,161.22,0.8090999999999999,1.00516,0.97101,0.7095,0.6906,0.8337,0.9465,0.5908,0.1618,0.3555,0.6594,0.1963,0.872,0.0301,0.6249,0.37579999999999997,0.2464,0.18100000000000002,0.16699999999999998,0.282,0.1469,0.5938,0.6056,0.1151,0.0832,0.029900000000000003,JH,Urban,Eastern Zone
139,Purbi Singhbhum,908.84,959.02,133.09,0.5611,0.9962,0.8150599999999999,0.08900000000000001,0.0443,0.5456,0.7315,0.21100000000000002,0.38060000000000005,0.2466,0.3492,0.1057,0.7611,0.0527,0.7733,0.5658,0.2552,0.1152,0.11109999999999999,0.5015,0.2796,0.7365,0.7479,0.049400000000000006,0.0336,0.0181,JH,Rural,Eastern Zone
142,Palamu,1214.9,1257.27,177.82,0.5335,1.00227,1.05319,0.10679999999999999,0.0681,0.5246,0.7459,0.2115,0.4603,0.24,0.19140000000000001,0.0748,0.5144,0.1278,0.5494,0.5199,0.3328,0.0388,0.0481,0.46270000000000006,0.32409999999999994,0.5942000000000001,0.5267000000000001,0.095,0.0441,0.0219,JH,Rural,Eastern Zone
145,Latehar,507.48,527.79,58.26,0.5611,1.01434,0.83704,0.0958,0.0319,0.499,0.6846,0.18030000000000002,0.3833,0.25,0.1344,0.0705,0.4962,0.086,0.5322,0.5335,0.3197,0.0613,0.07919999999999999,0.4487,0.3096,0.4899,0.5322,0.1119,0.0479,0.0449,JH,Rural,Eastern Zone
148,Hazaribagh,1047.55,1317.89,169.74,0.6076,1.0096399999999999,0.8625999999999999,0.17120000000000002,0.10060000000000001,0.5864,0.835,0.2982,0.485,0.5519,0.35619999999999996,0.1213,0.7426,0.0794,0.7193,0.6918000000000001,0.4106,0.0169,0.0165,0.5134000000000001,0.33380000000000004,0.6685,0.6162,0.13949999999999999,0.052199999999999996,0.0409,JH,Rural,Eastern Zone
150,Ramgarh,303.89,369.58,50.52,0.7439,0.9939,0.96093,0.5104,0.332,0.8098000000000001,0.8139,0.4763,0.2288,0.3996,0.43700000000000006,0.21359999999999998,0.7829999999999999,0.059500000000000004,0.6494,0.4454,0.32909999999999995,0.08109999999999999,0.0765,0.3116,0.2341,0.7354999999999999,0.642,0.1315,0.0464,0.0587,JH,Urban,Eastern Zone
151,Ramgarh,389.81,462.92,62.22,0.6203,1.00501,0.9792500000000001,0.301,0.0581,0.6923,0.828,0.3204,0.321,0.4139,0.2668,0.17629999999999998,0.6629,0.13949999999999999,0.669,0.532,0.384,0.056799999999999996,0.0546,0.44920000000000004,0.33020000000000005,0.6960999999999999,0.7023,0.0699,0.0154,0.028399999999999998,JH,Rural,Eastern Zone
154,Dumka,1063.52,1064.04,144.22,0.5572,1.01891,1.03049,0.0767,0.0387,0.48700000000000004,0.6976,0.11460000000000001,0.4861,0.335,0.27940000000000004,0.1282,0.526,0.07769999999999999,0.7559999999999999,0.49950000000000006,0.309,0.1659,0.16440000000000002,0.446,0.3895,0.76,0.6559,0.11410000000000001,0.0292,0.0374,JH,Rural,Eastern Zone
157,Jamtara,604.39,675.92,101.27,0.5377000000000001,0.98224,0.89817,0.1013,0.012,0.43670000000000003,0.7646999999999999,0.1164,0.46909999999999996,0.3779,0.2661,0.1274,0.5779,0.13970000000000002,0.6164999999999999,0.4539,0.34450000000000003,0.0941,0.0942,0.4364,0.38380000000000003,0.7631,0.657,0.0722,0.0276,0.0218,JH,Rural,Eastern Zone
159,Ranchi,965.84,1188.7,156.59,0.8184999999999999,0.9400999999999999,0.8478600000000001,0.6617000000000001,0.7579,0.8548,0.9024,0.6132,0.20350000000000001,0.3602,0.5922,0.44079999999999997,0.8761,0.028300000000000002,0.7084999999999999,0.5134000000000001,0.37979999999999997,0.0836,0.12210000000000001,0.23989999999999997,0.1868,0.495,0.5307999999999999,0.0958,0.0408,0.1208,JH,Urban,Eastern Zone
160,Ranchi,1317.02,1399.44,188.87,0.6219,0.97502,1.16518,0.1696,0.1211,0.6236999999999999,0.8162999999999999,0.3069,0.3428,0.41359999999999997,0.2716,0.2727,0.6981999999999999,0.0909,0.6586,0.5686,0.386,0.0368,0.0433,0.5185,0.3789,0.7413,0.7381,0.0384,0.027000000000000003,0.0381,JH,Rural,Eastern Zone
163,Khunti,374.32,402.45,55.23,0.5623,0.9702,1.07901,0.10339999999999999,0.0276,0.5596,0.7051000000000001,0.23070000000000002,0.29510000000000003,0.32789999999999997,0.4214,0.23739999999999997,0.6516,0.0911,0.6934,0.6231,0.2797,0.1204,0.11789999999999999,0.40840000000000004,0.2596,0.6598999999999999,0.6483,0.14029999999999998,0.0781,0.0161,JH,Rural,Eastern Zone
166,Gumla,660.84,724.41,83.17,0.6402,1.06284,0.9881,0.1334,0.0593,0.6624,0.821,0.2557,0.2505,0.22920000000000001,0.242,0.19440000000000002,0.6778,0.0599,0.5857,0.6848000000000001,0.3086,0.1,0.0959,0.46509999999999996,0.2853,0.7351000000000001,0.7036,0.0393,0.0183,0.019,JH,Rural,Eastern Zone
