,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
880,Panipat,834.0,954.0,149.0,0.634086755514605,-2.0731851347292842,-0.11591932516644271,0.8863228640400193,1.8999268586456852,1.1175184080339595,0.7691437475216771,0.9487974637132296,1.4428815023964519,-0.7241973675252739,1.458184204319642,-0.3883172860089951,0.08899811428881903,0.022531027503412064,1.686630257827851,0.375006722628138,0.6816751843033172,-1.71205843226806,-1.0595586691205063,-0.6504000469740675,0.7844065027667667,-1.3402474122262598,0.5873464684745617,1.194922646323696,1.1312228376424256,1.9286514555398806,0.673709414589214,HR,Total,Northern Zone
883,Sonipat,836.0,1016.0,185.0,0.5906280944912289,-2.298004967321928,-0.6332745504003231,0.5129193864838605,1.4323541172650944,0.5309636830924062,0.9997081104653821,0.8936524887827103,1.4698486849413865,-0.33221578374183075,1.3921134897239755,-0.45090871890308876,-0.007111963950928699,0.3340809038202479,0.7457619401904707,0.1298434895424445,1.1982231208119432,-1.114879330771198,-0.7045896094670017,-0.6620823587087024,0.3445704662943662,-0.9419337712622631,0.1543999950304325,1.2184718588389716,0.632068796173388,1.3363745131934501,1.100356908153109,HR,Total,Northern Zone
885,Jind,836.0,1075.0,142.0,0.10389109102941543,-1.4127768764883917,0.5820996295141896,0.26647309129679597,1.6303353681199386,0.08332981405806295,0.6769180023441956,0.5627826391995948,1.0248901729499615,-0.672426214950102,1.632370633708215,0.2688927593789905,0.1690898461552756,0.855218878750228,-0.5983356564343586,1.5495096532247128,0.8613440317845785,1.2211448015547615,0.12367152972450993,-0.15974295411940687,-1.074900378684745,-0.6297419986148061,1.2838255779281607,0.9201818336454776,2.6005636076005794,0.4232808937427034,1.2454170559648334,HR,Total,Northern Zone
887,Fatehabad,837.0,1104.0,186.0,-0.20901126833889425,-1.2020082834327879,-0.08307137435794236,0.8937909335911419,1.7524940122644177,0.17208480533211393,0.3211901280881932,0.32014474950530986,0.3844195875077592,-0.6280509413142407,1.5422742047141251,0.4097234833907017,1.0180622039397134,0.7589216442522968,0.4500604689330081,1.4696890657084405,0.3279521408245844,0.6181110029844011,0.34717056728412404,0.06222096883865394,-0.824993539779972,-0.06994985455729719,0.9010757970572641,1.1321247462829604,1.482739768254424,2.5949630156796144,2.3120357898745714,HR,Total,Northern Zone
889,Sirsa,835.0,1101.0,157.0,-0.22639473274824373,-1.1317520857475865,-0.6989704520173238,0.7743018207731716,1.415504649107235,0.27627544726252123,0.2223768296837482,-0.5952618343413093,0.24284187914685168,-0.6872179728287225,1.4161392041224,0.22194918470841998,0.5962457494430431,0.41338450870089655,0.6651160843929808,0.7627067191357452,0.3897133071462676,0.02093190148753912,-1.2436167000519533,-1.199468698501902,-0.25520594707708916,-0.24219359119037664,1.0202929419186915,0.6532907584723509,1.6444375563359437,0.7194193649159186,0.8699672616286058,HR,Total,Northern Zone
892,Hisar,835.0,1089.0,166.0,-0.026484892040713283,-1.5532892718587943,-1.282021578868205,0.4531748300748753,1.6261230010804741,0.16050806733984627,0.4200034264926382,0.5517536442134916,0.6878003911382761,-0.6946138517680328,1.5542870619133373,-0.3804933568972333,0.15307149978198412,0.7362634714292539,-0.3026341851768961,0.7684081896726215,1.7428443147395163,-0.25423886096689735,-0.967529653654783,-0.8256347229935891,-1.1148854729095086,-0.8558119029457231,0.6438177476194485,0.668990233482535,0.7164328595202676,1.6448520873322159,2.286436940260738,HR,Total,Northern Zone
894,Bhiwani,830.0,1101.0,170.0,0.12127455543876618,-0.1903190367658891,0.5492516787056893,0.14698397847882452,1.546088027330643,-0.04787321652096862,0.6110424700745657,0.32014474950530986,0.8563452820441189,-0.2508611154094179,1.5662999191125493,0.13979792903492175,0.09967701187101317,0.5323399160218707,0.1543589976755458,0.24387290027997607,0.39532795863005754,-0.28936704340788894,-0.612560594001278,-0.6620823587087024,-0.16523948507137098,-0.1560717228738371,1.170883019638388,1.085026321252408,0.21727881805122967,0.36158537891495024,0.6566435148466582,HR,Total,Northern Zone
897,Rohtak,831.0,990.0,174.0,0.33856786055564736,-1.0895983671364657,-0.017375472740941672,0.7817698903242943,1.3101954731206154,0.4306319538260878,0.7296184281598995,0.5076376642690756,0.9507304209513912,-0.2286734785914871,1.1458499171401308,-0.07144815698264495,-0.12457983735506471,0.4813590271700245,-0.1951063774469098,0.1298434895424445,0.18197120224605964,0.4131966054119485,-0.6651486028388343,-0.5452592413623546,-0.015295381728507137,-0.7266291004709132,1.2650018182131988,0.5355446958959716,0.378976606132749,0.15182062850058958,0.5371822166487673,HR,Total,Northern Zone
899,Jhajjar,832.0,1031.0,175.0,0.4428686470117494,-1.3987256369513514,-1.7993768041020852,0.38596220411476634,1.7061579748303053,0.35731261320839375,1.0260583233732345,1.1473193734630984,1.3889471373065823,-0.6872179728287225,1.35607491812634,0.09676631892023245,0.02492472879565394,0.5153462864045889,-0.08757856971692352,-0.6740638561571527,1.1982231208119432,-0.8865461449047509,0.4129055783310694,0.26082026832744504,-1.4447625002638091,-1.12494274143491,0.9261741433438807,0.7945860335640063,-0.6193314768053265,-0.11963963674152445,0.2982596202529859,HR,Total,Northern Zone
901,Mahendragarh,822.0,1108.0,189.0,0.2168836096901934,-1.6516479486180762,-1.9225566196339616,0.6100042906484615,1.1964615630550661,-0.06716777984141445,0.7954939604295295,0.9818844486715408,1.1462424944021687,-0.5984674255569995,1.199907774536584,-0.2318387037737605,0.29723661714160576,1.076136063774893,-0.5176898006368688,0.6372743673244603,1.51264360390415,1.666101779140658,1.477812757291584,1.05521746628261,-1.324807217589518,-0.3929068607443216,1.1018625673501938,0.9829797336862129,0.22430915666346973,1.1512879687101907,1.4758067024893369,HR,Total,Northern Zone
